id,observed_on_string,observed_on,time_observed_at,scientific_name,common_name,iconic_taxon_name
1176349,2012-02-17,2012-02-17,,Haliaeetus leucocephalus,Bald Eagle,Aves
1250981,2015-02-17,2015-02-17,,Poecile rufescens rufescens,Northern Chestnut-backed Chickadee,Aves
1251028,2015-02-16,2015-02-16,,Haliaeetus leucocephalus,Bald Eagle,Aves
1251044,2015-02-16,2015-02-16,,Larus occidentalis,Western Gull,Aves
1251046,2015-02-16,2015-02-16,,Larus brachyrhynchus,Short-billed Gull,Aves
1334796,2007-03-18 14:14:19,2007-03-18,2007-03-18 21:14:19 +0000,Corvus corax,Common Raven,Aves
1537172,2012-08-16,2012-08-16,,Calidris mauri,Western Sandpiper,Aves
1566399,2015-05-30,2015-05-30,,Bucephala clangula,Common Goldeneye,Aves
1601613,2015-04-18,2015-04-18,,Anas platyrhynchos,Mallard,Aves
1613657,2015-04-18 14:45:05,2015-04-18,2015-04-19 00:45:05 +0000,Sphyrapicus ruber,Red-breasted Sapsucker,Aves
1779088,2015-07-18,2015-07-18,,Dryobates villosus,Hairy Woodpecker,Aves
1794899,2015-07-22,2015-07-22,,Leiothlypis celata,Orange-crowned Warbler,Aves
1845407,2015-08-08,2015-08-08,,Dendragapus fuliginosus,Sooty Grouse,Aves
1845410,2015-08-08,2015-08-08,,Dendragapus fuliginosus,Sooty Grouse,Aves
1881526,2015-08-21,2015-08-21,,Eremophila alpestris,Horned Lark,Aves
1897711,2015-08-19 16:03:11,2015-08-19,2015-08-19 20:03:11 +0000,Larus glaucescens × occidentalis,Olympic Gull,Aves
1904148,2015-08-21,2015-08-21,,Corvus corax,Common Raven,Aves
1904153,2015-08-21,2015-08-21,,Perisoreus canadensis,Canada Jay,Aves
1904155,2015-08-21,2015-08-21,,Perisoreus canadensis,Canada Jay,Aves
1904157,2015-08-21,2015-08-21,,Perisoreus canadensis,Canada Jay,Aves
1904166,2015-08-22,2015-08-22,,Bonasa umbellus,Ruffed Grouse,Aves
1917147,2015-08-22,2015-08-22,,Junco hyemalis,Dark-eyed Junco,Aves
1917149,2015-08-22,2015-08-22,,Catharus guttatus,Hermit Thrush,Aves
1937581,2015-09-10,2015-09-10,,Cinclus mexicanus,American Dipper,Aves
1937590,2015-09-10,2015-09-10,,Eremophila alpestris,Horned Lark,Aves
1937650,2015-09-10,2015-09-10,,Dendragapus fuliginosus,Sooty Grouse,Aves
1950882,2015-09-06,2015-09-06,,Larus californicus,California Gull,Aves
1950885,2015-09-06,2015-09-06,,Corvus brachyrhynchos,American Crow,Aves
1951205,2015-09-07,2015-09-07,,Junco hyemalis,Dark-eyed Junco,Aves
1952017,"April 27, 2012",2012-04-27,,Dendragapus fuliginosus,Sooty Grouse,Aves
1954180,2015-09-07,2015-09-07,,Perisoreus canadensis,Canada Jay,Aves
1954208,2015-09-07,2015-09-07,,Corvus corax,Common Raven,Aves
1954211,2015-09-07,2015-09-07,,Turdus migratorius,American Robin,Aves
2308640,2009-09-28,2009-09-28,,Dendragapus fuliginosus,Sooty Grouse,Aves
2308644,2009-09-29,2009-09-29,,Cinclus mexicanus,American Dipper,Aves
2308651,2009-09-30,2009-09-30,,Histrionicus histrionicus,Harlequin Duck,Aves
2308653,2009-09-30,2009-09-30,,Lophodytes cucullatus,Hooded Merganser,Aves
2308657,2009-09-30,2009-09-30,,Nannopterum auritum,Double-crested Cormorant,Aves
2364689,1998-07-15,1998-07-15,,Dendragapus fuliginosus,Sooty Grouse,Aves
2534541,2015-12-31 12:27:11,2015-12-31,2015-12-31 20:27:11 +0000,Perisoreus canadensis,Canada Jay,Aves
2778641,2016-02-15,2016-02-15,,Mergus merganser,Common Merganser,Aves
2778820,2016-02-17 16:42:22,2016-02-17,2016-02-18 00:42:22 +0000,Calidris alba,Sanderling,Aves
2778900,2016-02-18,2016-02-18,,Melanitta perspicillata,Surf Scoter,Aves
2778909,2016-02-18,2016-02-18,,Haliaeetus leucocephalus,Bald Eagle,Aves
2836167,2016-03-19,2016-03-19,,Anas platyrhynchos,Mallard,Aves
2836169,2016-03-19,2016-03-19,,Haliaeetus leucocephalus,Bald Eagle,Aves
2836175,2016-03-19,2016-03-19,,Turdus migratorius,American Robin,Aves
2836176,2016-03-19,2016-03-19,,Junco hyemalis,Dark-eyed Junco,Aves
2836178,2016-03-19,2016-03-19,,Poecile rufescens rufescens,Northern Chestnut-backed Chickadee,Aves
3035171,2016-04-23,2016-04-23,,Zonotrichia leucophrys,White-crowned Sparrow,Aves
3093441,2016-04-23,2016-04-23,,Anas platyrhynchos,Mallard,Aves
3170306,2016-05-13 11:01:19 PM PDT,2016-05-13,2016-05-14 06:01:19 +0000,Anas platyrhynchos,Mallard,Aves
3199126,Tue May 17 2016 12:38:42 GMT-0700 (PDT),2016-05-17,2016-05-17 19:38:42 +0000,Turdus migratorius,American Robin,Aves
3234874,Fri May 20 2016 14:33:45 GMT-0700 (PDT),2016-05-20,2016-05-20 21:33:45 +0000,Pipilo maculatus,Spotted Towhee,Aves
3234903,Fri May 20 2016 14:40:05 GMT-0700 (PDT),2016-05-20,2016-05-20 21:40:05 +0000,Junco hyemalis,Dark-eyed Junco,Aves
3252782,Sat May 21 2016 10:34:51 GMT-0700 (PDT),2016-05-21,2016-05-21 17:34:51 +0000,Haematopus bachmani,Black Oystercatcher,Aves
3252808,Sat May 21 2016 11:29:50 GMT-0700 (PDT),2016-05-21,2016-05-21 18:29:50 +0000,Fratercula cirrhata,Tufted Puffin,Aves
3254005,Sat May 21 2016 12:05:50 GMT-0700 (PDT),2016-05-21,2016-05-21 19:05:50 +0000,Larus hyperboreus,Glaucous Gull,Aves
3255390,Sat May 21 2016 12:46:50 GMT-0700 (PDT),2016-05-21,2016-05-21 19:46:50 +0000,Haliaeetus leucocephalus,Bald Eagle,Aves
3258901,2016-05-21 3:12:59 PM PDT,2016-05-21,2016-05-21 22:12:59 +0000,Anas platyrhynchos,Mallard,Aves
3265441,2016-05-21 10:08:34 PM PDT,2016-05-21,2016-05-22 05:08:34 +0000,Strix varia,Barred Owl,Aves
3266189,Sat May 21 2016 05:40:35 GMT-0700 (PDT),2016-05-21,2016-05-21 12:40:35 +0000,Haliaeetus leucocephalus,Bald Eagle,Aves
3277141,Sat May 21 2016 10:48:04 GMT-0700 (PDT),2016-05-21,2016-05-21 17:48:04 +0000,Fratercula cirrhata,Tufted Puffin,Aves
3319931,Sat May 21 2016 13:05:50 GMT-0700 (PDT),2016-05-21,2016-05-21 20:05:50 +0000,Dryobates villosus,Hairy Woodpecker,Aves
3337769,2016-05-25 5:33:04 PM PDT,2016-05-25,2016-05-26 00:33:04 +0000,Mergus merganser,Common Merganser,Aves
3406984,2016-04-23,2016-04-23,,Turdus migratorius,American Robin,Aves
3412868,2016-05-21 14:41:58,2016-05-21,2016-05-22 00:41:58 +0000,Perisoreus canadensis,Canada Jay,Aves
3412996,2016-05-21 16:44:23,2016-05-21,2016-05-22 02:44:23 +0000,Anas platyrhynchos,Mallard,Aves
3431138,2016-06-04,2016-06-04,,Eremophila alpestris,Horned Lark,Aves
3431141,2016-06-04,2016-06-04,,Anthus rubescens,American Pipit,Aves
3585243,2016/06/25 4:38 PM PDT,2016-06-25,2016-06-25 23:38:00 +0000,Histrionicus histrionicus,Harlequin Duck,Aves
3617237,2016/07/03 8:43 PM PDT,2016-07-03,2016-07-04 03:43:00 +0000,Junco hyemalis,Dark-eyed Junco,Aves
3617238,2016/07/03 4:55 AM PDT,2016-07-03,2016-07-03 11:55:00 +0000,Molothrus ater,Brown-headed Cowbird,Aves
3629007,2016/07/03 1:49 AM PDT,2016-07-03,2016-07-03 08:49:00 +0000,Troglodytes pacificus,Pacific Wren,Aves
3843870,2016-05-26 17:44:06,2016-05-26,2016-05-27 00:44:06 +0000,Anas platyrhynchos,Mallard,Aves
3878334,2016/08/08 3:23 PM -0800,2016-08-08,2016-08-08 22:23:00 +0000,Dendragapus fuliginosus,Sooty Grouse,Aves
3882944,2016-08-10 3:49:16 PM PDT,2016-08-10,2016-08-10 22:49:16 +0000,Anas platyrhynchos,Mallard,Aves
3938330,Thu Aug 18 2016 13:11:03 GMT-0700 (PDT),2016-08-18,2016-08-18 20:11:03 +0000,Cerorhinca monocerata,Rhinoceros Auklet,Aves
3963661,2016-07-16 2:49:02 PM PDT,2016-07-16,2016-07-16 21:49:02 +0000,Anthus rubescens,American Pipit,Aves
3999339,2016/08/27 3:34 PM PDT,2016-08-27,2016-08-27 22:34:00 +0000,Astur cooperii,Cooper's Hawk,Aves
3999340,2016/08/27 3:36 PM PDT,2016-08-27,2016-08-27 22:36:00 +0000,Dendragapus fuliginosus,Sooty Grouse,Aves
3999344,2016/08/27 4:20 PM PDT,2016-08-27,2016-08-27 23:20:00 +0000,Corvus corax,Common Raven,Aves
4018941,2016/08/30 6:50 PM CDT,2016-08-30,2016-08-30 23:50:00 +0000,Mergus merganser,Common Merganser,Aves
4018942,2016/08/30 7:09 PM CDT,2016-08-30,2016-08-31 00:09:00 +0000,Larus californicus,California Gull,Aves
4095631,2016/07/25 3:25 PM UTC,2016-07-25,,Dryobates villosus,Hairy Woodpecker,Aves
4095632,2016/07/25 3:12 PM UTC,2016-07-25,,Empidonax hammondii,Hammond's Flycatcher,Aves
4095633,2016/07/25 10:33 AM UTC,2016-07-25,,Junco hyemalis,Dark-eyed Junco,Aves
4095634,2016/07/25 2:12 PM UTC,2016-07-25,,Dendragapus fuliginosus,Sooty Grouse,Aves
4095651,2016/07/26 10:25 AM UTC,2016-07-26,,Larus occidentalis,Western Gull,Aves
4095652,2016/07/26 10:35 AM UTC,2016-07-26,,Calidris mauri,Western Sandpiper,Aves
4095653,2016/07/26 11:24 AM UTC,2016-07-26,,Corvus brachyrhynchos,American Crow,Aves
4095654,2016/07/26 2:59 PM UTC,2016-07-26,,Bonasa umbellus,Ruffed Grouse,Aves
4095697,2016/07/27 2:00 PM UTC,2016-07-27,,Histrionicus histrionicus,Harlequin Duck,Aves
4095698,2016/07/27 2:17 PM UTC,2016-07-27,,Haematopus bachmani,Black Oystercatcher,Aves
4095699,2016/07/27 4:01 PM UTC,2016-07-27,,Corvus brachyrhynchos,American Crow,Aves
4095700,2016/07/27 1:25 PM UTC,2016-07-27,,Cerorhinca monocerata,Rhinoceros Auklet,Aves
4105329,2016/09/13 3:19 PM PDT,2016-09-13,2016-09-13 22:19:00 +0000,Cyanocitta stelleri,Steller's Jay,Aves
4118337,2016/09/13 4:32 PM PDT,2016-09-13,2016-09-13 23:32:00 +0000,Turdus migratorius,American Robin,Aves
4578320,2012-08-09 17:06:09,2012-08-09,2012-08-10 00:06:09 +0000,Larus glaucescens,Glaucous-winged Gull,Aves
4579027,2012-08-09 14:24:28,2012-08-09,2012-08-09 21:24:28 +0000,Bonasa umbellus,Ruffed Grouse,Aves
4848914,2013/06/03 3:52 AM PDT,2013-06-03,2013-06-03 10:52:00 +0000,Corvus corax,Common Raven,Aves
4916202,1991/07/15 6:00 PM CDT,1991-07-15,1991-07-15 23:00:00 +0000,Dendragapus fuliginosus,Sooty Grouse,Aves
5184006,2017/02/19 5:19 PM PST,2017-02-19,2017-02-20 01:19:00 +0000,Haliaeetus leucocephalus,Bald Eagle,Aves
5388921,2014/08/01 10:06 PM CEST,2014-08-01,2014-08-01 20:06:00 +0000,Perisoreus canadensis obscurus,Oregon Jay,Aves
5561319,2013/08/16 4:32 AM PDT,2013-08-16,2013-08-16 11:32:00 +0000,Larus,Large White-headed Gulls,Aves
5632654,Thu Apr 06 2017 17:36:07 GMT-0700 (PDT),2017-04-06,2017-04-07 00:36:07 +0000,Haliaeetus leucocephalus,Bald Eagle,Aves
5655314,2016/10/21 11:48 AM PDT,2016-10-21,2016-10-21 18:48:00 +0000,Cinclus mexicanus,American Dipper,Aves
5656183,2015/06/06 7:01 PM PDT,2015-06-06,2015-06-07 02:01:00 +0000,Haliaeetus leucocephalus,Bald Eagle,Aves
5656184,2015/06/06 7:31 PM PDT,2015-06-06,2015-06-07 02:31:00 +0000,Haematopus bachmani,Black Oystercatcher,Aves
5656185,2015/06/07 8:54 AM PDT,2015-06-07,2015-06-07 15:54:00 +0000,Corvus corax,Common Raven,Aves
5656187,2015/06/06 7:23 PM PDT,2015-06-06,2015-06-07 02:23:00 +0000,Corvus brachyrhynchos,American Crow,Aves
5656188,2015/06/07 12:05 PM PDT,2015-06-07,2015-06-07 19:05:00 +0000,Loxia curvirostra,Red Crossbill,Aves
5767762,2016/08/09 2:43 PM PDT,2016-08-09,2016-08-09 21:43:00 +0000,Megaceryle alcyon,Belted Kingfisher,Aves
5833494,Sat Apr 01 2017 14:23:20 GMT-0700 (PDT),2017-04-01,2017-04-01 21:23:20 +0000,Aechmophorus occidentalis,Western Grebe,Aves
6106881,2017/04/30 10:30 AM PDT,2017-04-30,2017-04-30 17:30:00 +0000,Turdus migratorius,American Robin,Aves
6106898,2017/04/30 11:34 AM PDT,2017-04-30,2017-04-30 18:34:00 +0000,Corvus corax,Common Raven,Aves
6106899,2017/04/30 12:27 PM PDT,2017-04-30,2017-04-30 19:27:00 +0000,Junco hyemalis,Dark-eyed Junco,Aves
6106900,2017/04/30 12:57 PM PDT,2017-04-30,2017-04-30 19:57:00 +0000,Setophaga townsendi,Townsend's Warbler,Aves
6209215,Sat May 13 2017 12:44:20 GMT-0700 (PDT),2017-05-13,2017-05-13 19:44:20 +0000,Ardea herodias,Great Blue Heron,Aves
6253373,2017/05/16 2:00 PM EDT,2017-05-16,2017-05-16 18:00:00 +0000,Haliaeetus leucocephalus,Bald Eagle,Aves
6253376,2017/05/16 12:00 PM EDT,2017-05-16,2017-05-16 16:00:00 +0000,Haematopus bachmani,Black Oystercatcher,Aves
6253377,2017/05/16 1:40 PM EDT,2017-05-16,2017-05-16 17:40:00 +0000,Calidris alba,Sanderling,Aves
6379873,Fri May 26 2017 14:18:26 GMT-0700 (PDT),2017-05-26,2017-05-26 21:18:26 +0000,Hirundo rustica,Barn Swallow,Aves
6426370,2011/09/17 1:23 PM CDT,2011-09-17,2011-09-17 18:23:00 +0000,Cinclus mexicanus,American Dipper,Aves
6468434,2017/05/30 12:42 PM PDT,2017-05-30,2017-05-30 19:42:00 +0000,Haliaeetus leucocephalus,Bald Eagle,Aves
6532239,2017/05/27 3:48 PM PDT,2017-05-27,2017-05-27 22:48:00 +0000,Turdus migratorius,American Robin,Aves
6532240,2017/05/27 4:03 PM PDT,2017-05-27,2017-05-27 23:03:00 +0000,Colaptes auratus,Northern Flicker,Aves
6532241,2017/05/27 3:46 PM PDT,2017-05-27,2017-05-27 22:46:00 +0000,Dryobates villosus,Hairy Woodpecker,Aves
6532242,2017/05/27 3:57 PM PDT,2017-05-27,2017-05-27 22:57:00 +0000,Zonotrichia leucophrys,White-crowned Sparrow,Aves
6532243,2017/05/27 4:06 PM PDT,2017-05-27,2017-05-27 23:06:00 +0000,Piranga ludoviciana,Western Tanager,Aves
6532244,2017/05/27 4:07 PM PDT,2017-05-27,2017-05-27 23:07:00 +0000,Turdus migratorius,American Robin,Aves
6532245,2017/05/27 4:10 PM PDT,2017-05-27,2017-05-27 23:10:00 +0000,Turdus migratorius,American Robin,Aves
6532246,2017/05/27 4:30 PM PDT,2017-05-27,2017-05-27 23:30:00 +0000,Junco hyemalis,Dark-eyed Junco,Aves
6532247,2017/05/27 4:32 PM PDT,2017-05-27,2017-05-27 23:32:00 +0000,Corvus brachyrhynchos,American Crow,Aves
6532248,2017/05/27 5:04 PM PDT,2017-05-27,2017-05-28 00:04:00 +0000,Zonotrichia leucophrys,White-crowned Sparrow,Aves
6532250,2017/05/27 8:00 PM PDT,2017-05-27,2017-05-28 03:00:00 +0000,Strix varia,Barred Owl,Aves
6532251,2017/05/28 6:20 AM PDT,2017-05-28,2017-05-28 13:20:00 +0000,Troglodytes pacificus,Pacific Wren,Aves
6532252,2017/05/28 6:29 AM PDT,2017-05-28,2017-05-28 13:29:00 +0000,Agelaius phoeniceus,Red-winged Blackbird,Aves
6532253,2017/05/28 6:35 AM PDT,2017-05-28,2017-05-28 13:35:00 +0000,Agelaius phoeniceus,Red-winged Blackbird,Aves
6532254,2017/05/28 6:38 AM PDT,2017-05-28,2017-05-28 13:38:00 +0000,Aix sponsa,Wood Duck,Aves
6532255,2017/05/28 6:40 AM PDT,2017-05-28,2017-05-28 13:40:00 +0000,Anas platyrhynchos,Mallard,Aves
6532256,2017/05/28 6:43 AM PDT,2017-05-28,2017-05-28 13:43:00 +0000,Corvus brachyrhynchos,American Crow,Aves
6532257,2017/05/28 6:44 AM PDT,2017-05-28,2017-05-28 13:44:00 +0000,Melospiza melodia,Song Sparrow,Aves
6532259,2017/05/28 6:27 AM PDT,2017-05-28,2017-05-28 13:27:00 +0000,Junco hyemalis,Dark-eyed Junco,Aves
6532260,2017/05/27 4:39 PM PDT,2017-05-27,2017-05-27 23:39:00 +0000,Troglodytes pacificus,Pacific Wren,Aves
6532262,2017/05/28 6:55 AM PDT,2017-05-28,2017-05-28 13:55:00 +0000,Melospiza melodia,Song Sparrow,Aves
6532264,2017/05/28 9:10 AM PDT,2017-05-28,2017-05-28 16:10:00 +0000,Zonotrichia leucophrys,White-crowned Sparrow,Aves
6545943,2017/05/20 4:16 PM PDT,2017-05-20,2017-05-20 23:16:00 +0000,Junco hyemalis,Dark-eyed Junco,Aves
6558368,2017/05/27 11:17 PM -0700,2017-05-27,2017-05-28 06:17:00 +0000,Dryobates pubescens,Downy Woodpecker,Aves
6586317,2016/07/16 7:41 PM PDT,2016-07-16,2016-07-17 02:41:00 +0000,Eremophila alpestris,Horned Lark,Aves
6664586,Wed Jun 14 2017 11:56:40 GMT-0700 (PDT),2017-06-14,2017-06-14 18:56:40 +0000,Haematopus bachmani,Black Oystercatcher,Aves
6701657,2017/05/28 4:25 PM PDT,2017-05-28,2017-05-28 23:25:00 +0000,Dryobates villosus,Hairy Woodpecker,Aves
6701690,2017/05/28 8:19 PM PDT,2017-05-28,2017-05-29 03:19:00 +0000,Corvus corax,Common Raven,Aves
6701691,2017/05/29 6:33 AM PDT,2017-05-29,2017-05-29 13:33:00 +0000,Dryocopus pileatus,Pileated Woodpecker,Aves
6701832,2017-05-28,2017-05-28,,Hirundo rustica,Barn Swallow,Aves
6701833,2017-05-28,2017-05-28,,Zonotrichia leucophrys,White-crowned Sparrow,Aves
6726261,2017/05/16 1:36 PM EDT,2017-05-16,2017-05-16 17:36:00 +0000,Passerculus sandwichensis,Savannah Sparrow,Aves
6726262,2017/05/16 1:39 PM EDT,2017-05-16,2017-05-16 17:39:00 +0000,Larus glaucescens × occidentalis,Olympic Gull,Aves
6877359,2017/06/30 2:10 PM PDT,2017-06-30,2017-06-30 21:10:00 +0000,Eremophila alpestris,Horned Lark,Aves
6935305,2017/06/14 9:00 PM PDT,2017-06-14,2017-06-15 04:00:00 +0000,Sphyrapicus ruber,Red-breasted Sapsucker,Aves
6940701,2017/06/14 9:00 PM PDT,2017-06-14,2017-06-15 04:00:00 +0000,Perisoreus canadensis,Canada Jay,Aves
6944364,2017/06/16 9:23 AM PDT,2017-06-16,2017-06-16 16:23:00 +0000,Perisoreus canadensis,Canada Jay,Aves
6963242,2017/06/16 9:23 AM PDT,2017-06-16,2017-06-16 16:23:00 +0000,Dendragapus fuliginosus,Sooty Grouse,Aves
7022024,Sun Jun 11 2017 13:32:01 GMT-0700 (PDT),2017-06-11,2017-06-11 20:32:01 +0000,Perisoreus canadensis,Canada Jay,Aves
7022205,2017/06/17 4:54 PM PDT,2017-06-17,2017-06-17 23:54:00 +0000,Chaetura vauxi,Vaux's Swift,Aves
7028957,2017/06/17 4:54 PM PDT,2017-06-17,2017-06-17 23:54:00 +0000,Tachycineta thalassina,Violet-green Swallow,Aves
7029335,2017/06/16 9:23 AM PDT,2017-06-16,2017-06-16 16:23:00 +0000,Eremophila alpestris,Horned Lark,Aves
7085527,Thu Jul 06 2017 17:58:18 GMT-0700 (PDT),2017-07-06,2017-07-07 00:58:18 +0000,Haliaeetus leucocephalus,Bald Eagle,Aves
7127603,2017-07-19 8:01:21 PM PDT,2017-07-19,2017-07-20 03:01:21 +0000,Junco hyemalis,Dark-eyed Junco,Aves
7164239,Sun Jun 25 2017 07:08:38 GMT-0700 (MST),2017-06-25,2017-06-25 13:08:38 +0000,Haliaeetus leucocephalus,Bald Eagle,Aves
7193275,Sun Jul 23 2017 13:45:08 GMT-0700 (PDT),2017-07-23,2017-07-23 20:45:08 +0000,Falco sparverius,American Kestrel,Aves
7204965,2017/07/24 3:19 PM PDT,2017-07-24,2017-07-24 22:19:00 +0000,Dendragapus fuliginosus,Sooty Grouse,Aves
7290009,2017/07/22 8:37 PM EDT,2017-07-22,2017-07-23 00:37:00 +0000,Cyanocitta stelleri,Steller's Jay,Aves
7297285,2017/07/25 6:47 PM PDT,2017-07-25,2017-07-26 01:47:00 +0000,Dendragapus fuliginosus,Sooty Grouse,Aves
7540064,Thu Aug 17 2017 15:30:22 GMT-0700 (PDT),2017-08-17,2017-08-17 22:30:22 +0000,Dendragapus fuliginosus,Sooty Grouse,Aves
7566395,2017/08/17 4:17 PM PDT,2017-08-17,2017-08-17 23:17:00 +0000,Eremophila alpestris,Horned Lark,Aves
7566400,2017/08/17 4:23 PM PDT,2017-08-17,2017-08-17 23:23:00 +0000,Dendragapus fuliginosus,Sooty Grouse,Aves
7575051,2017-08-17 7:25:00 pm GMT-07:00,2017-08-17,2017-08-17 12:25:00 +0000,Turdus migratorius,American Robin,Aves
7597604,2017/08/21 10:37 AM PDT,2017-08-21,2017-08-21 17:37:00 +0000,Perisoreus canadensis,Canada Jay,Aves
7609527,Tue Aug 22 2017 15:04:34 GMT-0700 (PDT),2017-08-22,2017-08-22 22:04:34 +0000,Dendragapus fuliginosus,Sooty Grouse,Aves
7667056,2012-09-15 10:25:50,2012-09-15,2012-09-15 17:25:50 +0000,Melospiza melodia,Song Sparrow,Aves
7667058,2012-08-09 13:49:14,2012-08-09,2012-08-09 20:49:14 +0000,Lophodytes cucullatus,Hooded Merganser,Aves
7667065,2012-08-09 17:14:25,2012-08-09,2012-08-10 00:14:25 +0000,Larus californicus,California Gull,Aves
7667070,2012-08-09 16:17:50,2012-08-09,2012-08-09 23:17:50 +0000,Corvus brachyrhynchos,American Crow,Aves
7667072,2012-08-09 17:11:46,2012-08-09,2012-08-10 00:11:46 +0000,Larus californicus,California Gull,Aves
7667073,2012-08-09 12:41:28,2012-08-09,2012-08-09 19:41:28 +0000,Cinclus mexicanus,American Dipper,Aves
7667075,2012-08-09 17:13:04,2012-08-09,2012-08-10 00:13:04 +0000,Larus occidentalis,Western Gull,Aves
7667081,2012-08-09 17:13:33,2012-08-09,2012-08-10 00:13:33 +0000,Larus heermanni,Heermann's Gull,Aves
7667083,2012-08-09 17:12:49,2012-08-09,2012-08-10 00:12:49 +0000,Larus californicus,California Gull,Aves
