id,observed_on_string,observed_on,scientific_name,common_name,observed_in
231179,2013-03-13 02:58:02,2013-03-13,Buteo jamaicensis,Red-tailed Hawk,Joshua Tree National Park
231195,2013-03-14 02:37:23,2013-03-14,Aphelocoma californica,California Scrub-Jay,Joshua Tree National Park
231196,2013-03-14 02:35:22,2013-03-14,Pipilo maculatus,Spotted Towhee,Joshua Tree National Park
231197,2013-03-14 02:10:14,2013-03-14,Dryobates scalaris,Ladder-backed Woodpecker,Joshua Tree National Park
231198,2013-03-14 02:01:41,2013-03-14,Lanius ludovicianus,Loggerhead Shrike,Joshua Tree National Park
231200,2013-03-14 01:48:24,2013-03-14,Junco hyemalis,Dark-eyed Junco,Joshua Tree National Park
231201,2013-03-14 01:36:31,2013-03-14,Baeolophus inornatus,Oak Titmouse,Joshua Tree National Park
231204,2013-03-14 01:21:39,2013-03-14,Calypte anna,Anna's Hummingbird,Joshua Tree National Park
361110,2007-12-11,2007-12-11,Callipepla gambelii,Gambel's Quail,Joshua Tree National Park
361133,2011-06-17,2011-06-17,Falco sparverius,American Kestrel,Joshua Tree National Park
370758,2007-12-11,2007-12-11,Baeolophus inornatus,Oak Titmouse,Joshua Tree National Park
371737,2007-06-21,2007-06-21,Fulica americana,American Coot,Joshua Tree National Park
452569,2013-10-31 14:20:46,2013-10-31,Baeolophus inornatus,Oak Titmouse,Joshua Tree National Park
452572,2013-10-31 14:28:52,2013-10-31,Corvus corax,Common Raven,Joshua Tree National Park
452573,2013-10-31 14:35:44,2013-10-31,Corthylio calendula,Ruby-crowned Kinglet,Joshua Tree National Park
452574,2013-10-31 14:49:46,2013-10-31,Salpinctes obsoletus,Rock Wren,Joshua Tree National Park
452578,2013-10-31 14:57:11,2013-10-31,Junco hyemalis,Dark-eyed Junco,Joshua Tree National Park
452579,2013-10-31 15:10:41,2013-10-31,Aphelocoma californica,California Scrub-Jay,Joshua Tree National Park
452580,2013-10-31 15:13:58,2013-10-31,Zonotrichia leucophrys,White-crowned Sparrow,Joshua Tree National Park
452581,2013-10-31 15:12:52,2013-10-31,Zonotrichia leucophrys,White-crowned Sparrow,Joshua Tree National Park
453172,2013-10-31 15:31:43,2013-10-31,Corvus corax,Common Raven,Joshua Tree National Park
453173,2013-10-31 15:37:33,2013-10-31,Zonotrichia atricapilla,Golden-crowned Sparrow,Joshua Tree National Park
453174,2013-10-31 15:40:54,2013-10-31,Junco hyemalis,Dark-eyed Junco,Joshua Tree National Park
453175,2013-10-31 15:43:11,2013-10-31,Zonotrichia leucophrys,White-crowned Sparrow,Joshua Tree National Park
453176,2013-10-31 16:00:36,2013-10-31,Setophaga townsendi × occidentalis,Townsend's × Hermit Warbler,Joshua Tree National Park
453177,2013-10-31 16:11:11,2013-10-31,Amphispiza bilineata,Black-throated Sparrow,Joshua Tree National Park
453178,2013-10-31 16:12:00,2013-10-31,Zonotrichia leucophrys,White-crowned Sparrow,Joshua Tree National Park
454319,2013-11-01 10:17:02,2013-11-01,Salpinctes obsoletus,Rock Wren,Joshua Tree National Park
454321,2013-11-01 10:27:32,2013-11-01,Sialia currucoides,Mountain Bluebird,Joshua Tree National Park
454323,2013-11-01 10:29:10,2013-11-01,Zonotrichia leucophrys,White-crowned Sparrow,Joshua Tree National Park
454325,2013-11-01 10:39:03,2013-11-01,Sialia currucoides,Mountain Bluebird,Joshua Tree National Park
454326,2013-11-01 10:37:16,2013-11-01,Setophaga coronata auduboni,Audubon's Warbler,Joshua Tree National Park
454331,2013-11-01 11:12:35,2013-11-01,Salpinctes obsoletus,Rock Wren,Joshua Tree National Park
454334,2013-11-01 11:19:10,2013-11-01,Spizella breweri,Brewer's Sparrow,Joshua Tree National Park
454350,2013-11-01 12:38:44,2013-11-01,Calypte anna,Anna's Hummingbird,Joshua Tree National Park
468993,2008-05-10 10:00:32,2008-05-10,Phainopepla nitens,Phainopepla,Joshua Tree National Park
468994,2008-05-10 10:00:06,2008-05-10,Zenaida macroura,Mourning Dove,Joshua Tree National Park
468995,2008-05-10 09:43:41,2008-05-10,Corvus corax,Common Raven,Joshua Tree National Park
468996,2008-05-10 09:33:06,2008-05-10,Myiarchus cinerascens,Ash-throated Flycatcher,Joshua Tree National Park
468997,2008-05-10 12:33:22,2008-05-10,Thryomanes bewickii,Bewick's Wren,Joshua Tree National Park
468998,2008-05-10 12:22:13,2008-05-10,Piranga ludoviciana,Western Tanager,Joshua Tree National Park
468999,2008-05-10 10:46:29,2008-05-10,Auriparus flaviceps,Verdin,Joshua Tree National Park
469004,2008-05-10 10:10:35,2008-05-10,Molothrus ater,Brown-headed Cowbird,Joshua Tree National Park
469006,2008-05-10 12:20:52,2008-05-10,Corvus corax,Common Raven,Joshua Tree National Park
542981,2014-02-22 09:57:44,2014-02-22,Sayornis saya,Say's Phoebe,Joshua Tree National Park
542986,2014-02-22 10:56:04,2014-02-22,Phainopepla nitens,Phainopepla,Joshua Tree National Park
648243,2014-04-27,2014-04-27,Buteo jamaicensis,Red-tailed Hawk,Joshua Tree National Park
648244,2014-04-27,2014-04-27,Campylorhynchus brunneicapillus,Cactus Wren,Joshua Tree National Park
648245,2014-04-27,2014-04-27,Icterus parisorum,Scott's Oriole,Joshua Tree National Park
648246,2014-04-27,2014-04-27,Myiarchus cinerascens,Ash-throated Flycatcher,Joshua Tree National Park
648247,2014-04-27,2014-04-27,Empidonax hammondii,Hammond's Flycatcher,Joshua Tree National Park
648248,2014-04-27,2014-04-27,Calypte costae,Costa's Hummingbird,Joshua Tree National Park
648249,2014-04-27,2014-04-27,Callipepla gambelii,Gambel's Quail,Joshua Tree National Park
648250,2014-04-27,2014-04-27,Haemorhous mexicanus,House Finch,Joshua Tree National Park
648251,2014-04-27,2014-04-27,Amphispiza bilineata,Black-throated Sparrow,Joshua Tree National Park
662804,2014-05-02 18:45,2014-05-02,Gymnorhinus cyanocephalus,Pinyon Jay,Joshua Tree National Park
676313,2014-05-13 10:30,2014-05-13,Pheucticus melanocephalus,Black-headed Grosbeak,Joshua Tree National Park
709571,2014-05-25 18:16:23,2014-05-25,Callipepla gambelii,Gambel's Quail,Joshua Tree National Park
709572,2014-05-25 18:16:33,2014-05-25,Callipepla gambelii,Gambel's Quail,Joshua Tree National Park
709573,2014-05-25 18:16:41,2014-05-25,Callipepla gambelii,Gambel's Quail,Joshua Tree National Park
709574,2014-05-25 19:10:10,2014-05-25,Pheucticus melanocephalus,Black-headed Grosbeak,Joshua Tree National Park
715601,2014-05-25 19:07:06,2014-05-25,Pheucticus melanocephalus,Black-headed Grosbeak,Joshua Tree National Park
717636,2014-05-25 18:13:28,2014-05-25,Callipepla gambelii,Gambel's Quail,Joshua Tree National Park
744920,2014-05-25 16:41:50,2014-05-25,Mimus polyglottos,Northern Mockingbird,Joshua Tree National Park
745945,2014-06-19,2014-06-19,Buteo jamaicensis,Red-tailed Hawk,Joshua Tree National Park
762102,2014-06-29 18:25:15,2014-06-29,Icterus parisorum,Scott's Oriole,Joshua Tree National Park
821315,2014-08-06 09:12:00,2014-08-06,Amphispiza bilineata,Black-throated Sparrow,Joshua Tree National Park
900070,2011-01-15 13:44:27,2011-01-15,Amphispiza bilineata,Black-throated Sparrow,Joshua Tree National Park
900074,2011-01-15 13:44:27,2011-01-15,Buteo jamaicensis,Red-tailed Hawk,Joshua Tree National Park
1025659,Thu Jul 17 2014 11:30:43 GMT-0400 (EDT),2014-07-17,Amphispiza bilineata,Black-throated Sparrow,Joshua Tree National Park
1031154,2008-05-10 09:52:49,2008-05-10,Myiarchus cinerascens,Ash-throated Flycatcher,Joshua Tree National Park
1154217,Wed Dec 31 2014 14:13:12 GMT-0800 (PST),2014-12-31,Campylorhynchus brunneicapillus,Cactus Wren,Joshua Tree National Park
1192114,2015-01-18 13:07:27,2015-01-18,Sphyrapicus nuchalis,Red-naped Sapsucker,Joshua Tree National Park
1193460,2015-01-18 12:27:18,2015-01-18,Salpinctes obsoletus,Rock Wren,Joshua Tree National Park
1220065,2013-04-08,2013-04-08,Recurvirostra americana,American Avocet,Joshua Tree National Park
1220321,2011-02-14,2011-02-14,Toxostoma lecontei,LeConte's Thrasher,Joshua Tree National Park
1335542,2015-03-22 10:30:01,2015-03-22,Dryobates scalaris,Ladder-backed Woodpecker,Joshua Tree National Park
1335576,2015-03-22 10:00:30,2015-03-22,Aeronautes saxatalis,White-throated Swift,Joshua Tree National Park
1340470,2015-03-22 09:55:50,2015-03-22,Campylorhynchus brunneicapillus,Cactus Wren,Joshua Tree National Park
1343247,2015-03-21 13:13:39,2015-03-21,Amphispiza bilineata,Black-throated Sparrow,Joshua Tree National Park
1352742,2015-03-22 12:39:32,2015-03-22,Polioptila melanura,Black-tailed Gnatcatcher,Joshua Tree National Park
1352839,2015-03-22 13:15:30,2015-03-22,Calypte costae,Costa's Hummingbird,Joshua Tree National Park
1500055,2015-05-16 14:27:06,2015-05-16,Campylorhynchus brunneicapillus,Cactus Wren,Joshua Tree National Park
1500056,2015-05-16 14:19:16,2015-05-16,Callipepla gambelii,Gambel's Quail,Joshua Tree National Park
1500058,2015-05-16 13:14:58,2015-05-16,Gymnorhinus cyanocephalus,Pinyon Jay,Joshua Tree National Park
1500059,2015-05-16 13:11:32,2015-05-16,Dryobates scalaris,Ladder-backed Woodpecker,Joshua Tree National Park
1510606,2015-05-15,2015-05-15,Haemorhous mexicanus,House Finch,Joshua Tree National Park
1510607,2015-05-15,2015-05-15,Calypte anna,Anna's Hummingbird,Joshua Tree National Park
1510608,2015-05-15,2015-05-15,Corvus corax,Common Raven,Joshua Tree National Park
1510609,2015-05-15,2015-05-15,Campylorhynchus brunneicapillus,Cactus Wren,Joshua Tree National Park
1510610,2015-05-15,2015-05-15,Falco sparverius,American Kestrel,Joshua Tree National Park
1510611,2015-05-15,2015-05-15,Callipepla gambelii,Gambel's Quail,Joshua Tree National Park
1510612,2015-05-15,2015-05-15,Myiarchus cinerascens,Ash-throated Flycatcher,Joshua Tree National Park
1510727,2015-05-16,2015-05-16,Polioptila,Gnatcatchers,Joshua Tree National Park
1510728,2015-05-16,2015-05-16,Polioptila melanura,Black-tailed Gnatcatcher,Joshua Tree National Park
1510729,2015-05-16,2015-05-16,Auriparus flaviceps,Verdin,Joshua Tree National Park
1510730,2015-05-16,2015-05-16,Amphispiza bilineata,Black-throated Sparrow,Joshua Tree National Park
1510731,2015-05-16,2015-05-16,Cardellina pusilla,Wilson's Warbler,Joshua Tree National Park
1510732,2015-05-16,2015-05-16,Phainopepla nitens,Phainopepla,Joshua Tree National Park
1574044,2015-05-30 7:07:38 PM PDT,2015-05-30,Zenaida macroura,Mourning Dove,Joshua Tree National Park
1581798,2015-05-28,2015-05-28,Phainopepla nitens,Phainopepla,Joshua Tree National Park
1610975,2015-04-07 10:19:36,2015-04-07,Aphelocoma californica,California Scrub-Jay,Joshua Tree National Park
1675309,2015-06-10,2015-06-10,Amphispiza bilineata,Black-throated Sparrow,Joshua Tree National Park
1675312,2015-06-10,2015-06-10,Myiarchus cinerascens,Ash-throated Flycatcher,Joshua Tree National Park
1675328,2015-06-10,2015-06-10,Myiarchus cinerascens,Ash-throated Flycatcher,Joshua Tree National Park
1675338,2015-06-10,2015-06-10,Phainopepla nitens,Phainopepla,Joshua Tree National Park
1675348,2015-06-10,2015-06-10,Callipepla gambelii,Gambel's Quail,Joshua Tree National Park
1754120,10/13/12,2012-10-13,Corvus corax,Common Raven,Joshua Tree National Park
1785176,2015-02-15,2015-02-15,Calypte anna,Anna's Hummingbird,Joshua Tree National Park
1785202,2015-02-14,2015-02-14,Melanerpes formicivorus,Acorn Woodpecker,Joshua Tree National Park
1785212,2015-01-13,2015-01-13,Corvus corax,Common Raven,Joshua Tree National Park
1785708,2015-01-13,2015-01-13,Lanius ludovicianus,Loggerhead Shrike,Joshua Tree National Park
1785711,2015-01-13,2015-01-13,Pipilo maculatus,Spotted Towhee,Joshua Tree National Park
1785724,2015-02-13,2015-02-13,Junco hyemalis,Dark-eyed Junco,Joshua Tree National Park
1785728,2015-02-14,2015-02-14,Calypte costae,Costa's Hummingbird,Joshua Tree National Park
1786731,2014-02-14,2014-02-14,Artemisiospiza,Sage Sparrows,Joshua Tree National Park
1786768,2014-02-15,2014-02-15,Zonotrichia atricapilla,Golden-crowned Sparrow,Joshua Tree National Park
1786780,2014-02-15,2014-02-15,Spizella passerina,Chipping Sparrow,Joshua Tree National Park
1786783,2014-02-15,2014-02-15,Passerculus sandwichensis,Savannah Sparrow,Joshua Tree National Park
1842684,2012-04-05,2012-04-05,Callipepla gambelii,Gambel's Quail,Joshua Tree National Park
1854522,2012-04-02,2012-04-02,Aeronautes saxatalis,White-throated Swift,Joshua Tree National Park
1855049,2012-04-04,2012-04-04,Calypte costae,Costa's Hummingbird,Joshua Tree National Park
1856822,2012-05-04,2012-05-04,Dryobates scalaris,Ladder-backed Woodpecker,Joshua Tree National Park
1856904,2012-04-04,2012-04-04,Sayornis saya,Say's Phoebe,Joshua Tree National Park
1856939,2012-04-02,2012-04-02,Empidonax hammondii,Hammond's Flycatcher,Joshua Tree National Park
1857119,2012-05-04,2012-05-04,Corvus corax,Common Raven,Joshua Tree National Park
1857297,2012-04-04,2012-04-04,Eremophila alpestris,Horned Lark,Joshua Tree National Park
1860008,2012-04-04,2012-04-04,Polioptila melanura,Black-tailed Gnatcatcher,Joshua Tree National Park
1860012,2012-04-02,2012-04-02,Oreoscoptes montanus,Sage Thrasher,Joshua Tree National Park
1860365,2012-04-02,2012-04-02,Amphispiza bilineata,Black-throated Sparrow,Joshua Tree National Park
1860369,2012-04-04,2012-04-04,Spizella breweri,Brewer's Sparrow,Joshua Tree National Park
1860388,2012-04-04,2012-04-04,Spizella passerina,Chipping Sparrow,Joshua Tree National Park
1867918,10/13/12,2012-10-13,Myadestes townsendi,Townsend's Solitaire,Joshua Tree National Park
1867960,10/13/12,2012-10-13,Aeronautes saxatalis,White-throated Swift,Joshua Tree National Park
1874997,10/12/12,2012-10-12,Callipepla gambelii,Gambel's Quail,Joshua Tree National Park
1910953,2015-09-01,2015-09-01,Toxostoma lecontei,LeConte's Thrasher,Joshua Tree National Park
1914325,2013-03-01,2013-03-01,Phainopepla nitens,Phainopepla,Joshua Tree National Park
1914327,2013-12-10,2013-12-10,Artemisiospiza nevadensis,Sagebrush Sparrow,Joshua Tree National Park
1916830,2015-01-19,2015-01-19,Aphelocoma californica,California Scrub-Jay,Joshua Tree National Park
1916832,2015-01-19,2015-01-19,Polioptila caerulea,Blue-gray Gnatcatcher,Joshua Tree National Park
1916861,2014-01-08,2014-01-08,Buteo jamaicensis,Red-tailed Hawk,Joshua Tree National Park
1916864,2014-01-08,2014-01-08,Pipilo maculatus,Spotted Towhee,Joshua Tree National Park
1916873,2014-01-08,2014-01-08,Calypte anna,Anna's Hummingbird,Joshua Tree National Park
1916881,2014-01-08,2014-01-08,Phainopepla nitens,Phainopepla,Joshua Tree National Park
1916885,2014-01-08,2014-01-08,Spinus psaltria,Lesser Goldfinch,Joshua Tree National Park
1916886,2014-01-08,2014-01-08,Haemorhous mexicanus,House Finch,Joshua Tree National Park
1916887,2014-01-08,2014-01-08,Colaptes auratus,Northern Flicker,Joshua Tree National Park
1916908,2014-01-28,2014-01-28,Buteo jamaicensis,Red-tailed Hawk,Joshua Tree National Park
1916918,2014-03-21,2014-03-21,Icterus parisorum,Scott's Oriole,Joshua Tree National Park
1916928,2014-04-03,2014-04-03,Geococcyx californianus,Greater Roadrunner,Joshua Tree National Park
1916942,2014-11-13,2014-11-13,Phainopepla nitens,Phainopepla,Joshua Tree National Park
1916944,2014-11-13,2014-11-13,Sayornis saya,Say's Phoebe,Joshua Tree National Park
1916953,2014-12-03,2014-12-03,Buteo jamaicensis,Red-tailed Hawk,Joshua Tree National Park
1916957,2014-12-15,2014-12-15,Haemorhous mexicanus,House Finch,Joshua Tree National Park
1916966,2013-03-22,2013-03-22,Cathartes aura,Turkey Vulture,Joshua Tree National Park
1916978,2013-11-18,2013-11-18,Buteo jamaicensis,Red-tailed Hawk,Joshua Tree National Park
1916995,2011-02-22,2011-02-22,Lanius ludovicianus,Loggerhead Shrike,Joshua Tree National Park
1917052,2011-03-07,2011-03-07,Corvus corax,Common Raven,Joshua Tree National Park
1917063,2010-02-04,2010-02-04,Lanius ludovicianus,Loggerhead Shrike,Joshua Tree National Park
1917064,2010-02-04,2010-02-04,Branta canadensis,Canada Goose,Joshua Tree National Park
1917074,2010-10-24,2010-10-24,Phainopepla nitens,Phainopepla,Joshua Tree National Park
1917078,2010-10-24,2010-10-24,Aphelocoma californica,California Scrub-Jay,Joshua Tree National Park
1917081,2010-10-24,2010-10-24,Accipiter striatus,Sharp-shinned Hawk,Joshua Tree National Park
1917082,2010-10-24,2010-10-24,Zonotrichia leucophrys,White-crowned Sparrow,Joshua Tree National Park
1917084,2010-10-24,2010-10-24,Buteo jamaicensis,Red-tailed Hawk,Joshua Tree National Park
1917089,2010-10-24,2010-10-24,Baeolophus inornatus,Oak Titmouse,Joshua Tree National Park
1917092,2010-12-21,2010-12-21,Junco hyemalis,Dark-eyed Junco,Joshua Tree National Park
1917093,2010-12-21,2010-12-21,Aphelocoma californica,California Scrub-Jay,Joshua Tree National Park
1917094,2010-12-21,2010-12-21,Corvus corax,Common Raven,Joshua Tree National Park
1917103,2010-02-07,2010-02-07,Buteo lineatus,Red-shouldered Hawk,Joshua Tree National Park
1917110,2010-02-07,2010-02-07,Corvus corax,Common Raven,Joshua Tree National Park
1917128,2010-03-28,2010-03-28,Calypte anna,Anna's Hummingbird,Joshua Tree National Park
1917129,2010-03-29,2010-03-29,Calypte anna,Anna's Hummingbird,Joshua Tree National Park
1917130,2010-03-29,2010-03-29,Zenaida macroura,Mourning Dove,Joshua Tree National Park
1917132,2010-03-29,2010-03-29,Calypte anna,Anna's Hummingbird,Joshua Tree National Park
1917133,2010-03-29,2010-03-29,Tyrannus verticalis,Western Kingbird,Joshua Tree National Park
1917134,2010-03-29,2010-03-29,Geococcyx californianus,Greater Roadrunner,Joshua Tree National Park
1917136,2010-04-04,2010-04-04,Calypte costae,Costa's Hummingbird,Joshua Tree National Park
1917138,2010-04-04,2010-04-04,Amphispiza bilineata,Black-throated Sparrow,Joshua Tree National Park
1917145,2010-04-04,2010-04-04,Phainopepla nitens,Phainopepla,Joshua Tree National Park
1917146,2010-04-04,2010-04-04,Sayornis saya,Say's Phoebe,Joshua Tree National Park
1917148,2010-04-04,2010-04-04,Falco sparverius,American Kestrel,Joshua Tree National Park
1917150,2008-01-25,2008-01-25,Aphelocoma californica,California Scrub-Jay,Joshua Tree National Park
1917152,2008-03-29,2008-03-29,Corvus corax,Common Raven,Joshua Tree National Park
1917160,2008-05-02,2008-05-02,Calypte costae,Costa's Hummingbird,Joshua Tree National Park
1917165,2008-06-07,2008-06-07,Bubo virginianus,Great Horned Owl,Joshua Tree National Park
1917172,2007-05-20,2007-05-20,Corvus corax,Common Raven,Joshua Tree National Park
1917173,2007-05-20,2007-05-20,Anas platyrhynchos,Mallard,Joshua Tree National Park
1917174,2007-05-20,2007-05-20,Zenaida macroura,Mourning Dove,Joshua Tree National Park
1917175,2007-06-11,2007-06-11,Cathartes aura,Turkey Vulture,Joshua Tree National Park
1917177,2007-09-21,2007-09-21,Cathartes aura,Turkey Vulture,Joshua Tree National Park
1917178,2007-09-27,2007-09-27,Astur cooperii,Cooper's Hawk,Joshua Tree National Park
1917179,2007-09-27,2007-09-27,Amphispiza bilineata,Black-throated Sparrow,Joshua Tree National Park
2068996,2015-10-03 13:11:02,2015-10-03,Salpinctes obsoletus,Rock Wren,Joshua Tree National Park
2068997,2015-10-03 12:37:47,2015-10-03,Aphelocoma californica,California Scrub-Jay,Joshua Tree National Park
2068998,2015-10-03 14:44:24,2015-10-03,Gymnorhinus cyanocephalus,Pinyon Jay,Joshua Tree National Park
2068999,2015-10-03 13:14:34,2015-10-03,Zonotrichia leucophrys gambelii,Gambel's White-crowned Sparrow,Joshua Tree National Park
2069000,2015-10-03 13:52:52,2015-10-03,Passerculus sandwichensis,Savannah Sparrow,Joshua Tree National Park
2069001,2015-10-03 14:15:37,2015-10-03,Spizella passerina,Chipping Sparrow,Joshua Tree National Park
2069002,2015-10-03 13:46:50,2015-10-03,Setophaga coronata auduboni,Audubon's Warbler,Joshua Tree National Park
2069003,2015-10-03 13:43:31,2015-10-03,Setophaga coronata auduboni,Audubon's Warbler,Joshua Tree National Park
2101645,2015-10-03 15:28:50,2015-10-03,Amphispiza bilineata,Black-throated Sparrow,Joshua Tree National Park
2101722,2015-10-03 14:00:12,2015-10-03,Salpinctes obsoletus,Rock Wren,Joshua Tree National Park
2115871,2015-10-03 17:37:46,2015-10-03,Corthylio calendula,Ruby-crowned Kinglet,Joshua Tree National Park
2115872,2015-10-03 17:23:27,2015-10-03,Corvus corax,Common Raven,Joshua Tree National Park
2115988,2015-10-03 16:05:59,2015-10-03,Astur cooperii,Cooper's Hawk,Joshua Tree National Park
2371056,2015-11-10 8:27:57 AM PST,2015-11-10,Lanius ludovicianus,Loggerhead Shrike,Joshua Tree National Park
2375480,2015-11-08 15:44:47,2015-11-08,Aphelocoma californica,California Scrub-Jay,Joshua Tree National Park
2375481,2015-11-08 14:49:31,2015-11-08,Zonotrichia leucophrys,White-crowned Sparrow,Joshua Tree National Park
2375483,2015-11-08 16:08:37,2015-11-08,Corvus corax,Common Raven,Joshua Tree National Park
2377895,2015-11-09 10:10:06,2015-11-09,Campylorhynchus brunneicapillus,Cactus Wren,Joshua Tree National Park
2377913,2015-11-09 10:18:24,2015-11-09,Zonotrichia leucophrys,White-crowned Sparrow,Joshua Tree National Park
2377914,2015-11-09 10:18:06,2015-11-09,Phainopepla nitens,Phainopepla,Joshua Tree National Park
2378085,2015-11-09 10:56:24,2015-11-09,Salpinctes obsoletus,Rock Wren,Joshua Tree National Park
2378086,2015-11-09 10:51:29,2015-11-09,Aphelocoma californica,California Scrub-Jay,Joshua Tree National Park
2378090,2015-11-09 10:40:00,2015-11-09,Polioptila caerulea,Blue-gray Gnatcatcher,Joshua Tree National Park
2378092,2015-11-09 10:41:42,2015-11-09,Myiarchus cinerascens,Ash-throated Flycatcher,Joshua Tree National Park
2378093,2015-11-09 10:46:28,2015-11-09,Zonotrichia leucophrys,White-crowned Sparrow,Joshua Tree National Park
2385315,2011-07-02,2011-07-02,Callipepla gambelii,Gambel's Quail,Joshua Tree National Park
2385588,2012-07-28,2012-07-28,Cathartes aura,Turkey Vulture,Joshua Tree National Park
