id,observed_on_string,observed_on,user_login,scientific_name,common_name
356875,2013-08-04 12:58:31,2013-08-04,belinda,Oreortyx pictus,Mountain Quail
432971,2013-04-22 15:06:26,2013-04-22,treichard,Junco hyemalis,Dark-eyed Junco
432972,2013-04-22 15:21:23,2013-04-22,treichard,Certhia americana,Brown Creeper
432973,2013-04-22 15:29:05,2013-04-22,treichard,Turdus migratorius,American Robin
432974,2013-04-22 15:22:55,2013-04-22,treichard,Dryobates albolarvatus,White-headed Woodpecker
432976,2013-04-22 16:58:31,2013-04-22,treichard,Corvus corax,Common Raven
432978,2013-04-22 17:51:56,2013-04-22,treichard,Agelaius phoeniceus,Red-winged Blackbird
432979,2013-04-22 18:08:37,2013-04-22,treichard,Cyanocitta stelleri,Steller's Jay
432982,2013-04-23 13:27:19,2013-04-23,treichard,Dryobates albolarvatus,White-headed Woodpecker
432983,2013-04-23 13:28:01,2013-04-23,treichard,Cyanocitta stelleri,Steller's Jay
432985,2013-04-23 17:58:40,2013-04-23,treichard,Agelaius phoeniceus,Red-winged Blackbird
432986,2013-04-23 15:53:02,2013-04-23,treichard,Euphagus cyanocephalus,Brewer's Blackbird
453086,2013-08-06 01:11:53,2013-08-06,knightericm,Cyanocitta stelleri,Steller's Jay
567366,2012-10-17,2012-10-17,michaelhanrahan,Dendragapus fuliginosus,Sooty Grouse
600584,2014-03-27,2014-03-27,jihyunan,Anas platyrhynchos,Mallard
600595,2014-03-27,2014-03-27,jihyunan,Turdus migratorius,American Robin
600610,2014-03-27,2014-03-27,jihyunan,Cyanocitta stelleri,Steller's Jay
629952,2014-04-12,2014-04-12,greenrosettas,Corvus corax,Common Raven
642729,2004-11-06,2004-11-06,medellin_ortiz,Corvus corax,Common Raven
661857,Mon May 05 2014 06:48:32 GMT-0700 (PDT),2014-05-05,lechnaumovich,Cyanocitta stelleri,Steller's Jay
661863,Mon May 05 2014 08:40:26 GMT-0700 (PDT),2014-05-05,lechnaumovich,Dryobates albolarvatus,White-headed Woodpecker
718909,2014-05-30,2014-05-30,dpom,Spizella passerina,Chipping Sparrow
718910,2014-05-30,2014-05-30,dpom,Junco hyemalis,Dark-eyed Junco
718936,2014-05-30,2014-05-30,dpom,Setophaga occidentalis,Hermit Warbler
718953,2014-05-30,2014-05-30,dpom,Melospiza lincolnii,Lincoln's Sparrow
718954,2014-05-30,2014-05-30,dpom,Poecile gambeli,Mountain Chickadee
718970,2014-05-30,2014-05-30,dpom,Vireo cassinii,Cassin's Vireo
719060,2014-06-01,2014-06-01,dpom,Myiarchus cinerascens,Ash-throated Flycatcher
719077,2014-06-01,2014-06-01,dpom,Spinus lawrencei,Lawrence's Goldfinch
719082,2014-06-01,2014-06-01,dpom,Glaucidium gnoma,Northern Pygmy-Owl
719116,2014-06-01,2014-06-01,dpom,Sialia mexicana,Western Bluebird
719117,2014-06-01,2014-06-01,dpom,Piranga ludoviciana,Western Tanager
719202,2014-06-01,2014-06-01,dpom,Empidonax oberholseri,Dusky Flycatcher
719211,2014-06-01,2014-06-01,dpom,Passerella iliaca megarhyncha,Northern Thick-billed Fox Sparrow
719229,2014-05-31,2014-05-31,dpom,Certhia americana,Brown Creeper
719230,2014-05-31,2014-05-31,dpom,Haemorhous cassinii,Cassin's Finch
719231,2014-05-31,2014-05-31,dpom,Vireo cassinii,Cassin's Vireo
719236,2014-05-31,2014-05-31,dpom,Spinus lawrencei,Lawrence's Goldfinch
719237,2014-05-31,2014-05-31,dpom,Geothlypis tolmiei,MacGillivray's Warbler
719239,2014-05-31,2014-05-31,dpom,Setophaga petechia,Yellow Warbler
719240,2014-05-31,2014-05-31,dpom,Setophaga coronata auduboni,Audubon's Warbler
719243,2014-05-31,2014-05-31,dpom,Leiothlypis ruficapilla,Nashville Warbler
719246,2014-05-31,2014-05-31,dpom,Vireo gilvus,Warbling Vireo
719248,2014-05-31,2014-05-31,dpom,Dryocopus pileatus,Pileated Woodpecker
719252,2014-05-31,2014-05-31,dpom,Dryobates albolarvatus,White-headed Woodpecker
719255,2014-05-31,2014-05-31,dpom,Colaptes auratus,Northern Flicker
719256,2014-05-31,2014-05-31,dpom,Contopus cooperi,Olive-sided Flycatcher
719257,2014-05-31,2014-05-31,dpom,Contopus sordidulus,Western Wood-Pewee
719270,2014-05-31,2014-05-31,dpom,Sitta canadensis,Red-breasted Nuthatch
719277,2014-05-31,2014-05-31,dpom,Agelaius phoeniceus,Red-winged Blackbird
719279,2014-05-31,2014-05-31,dpom,Piranga ludoviciana,Western Tanager
762468,2014-06-30,2014-06-30,dpom,Calypte anna,Anna's Hummingbird
762473,2014-06-30,2014-06-30,dpom,Bubo virginianus,Great Horned Owl
762494,2014-06-30,2014-06-30,dpom,Melospiza melodia,Song Sparrow
762503,2014-06-30,2014-06-30,dpom,Contopus sordidulus,Western Wood-Pewee
762504,2014-06-30,2014-06-30,dpom,Dryobates albolarvatus,White-headed Woodpecker
773561,2014-06-29,2014-06-29,dpom,Sialia currucoides,Mountain Bluebird
773592,2014-06-29 12:03:55,2014-06-29,dpom,Colaptes auratus,Northern Flicker
773598,2014-06-29 13:14:37,2014-06-29,dpom,Charadrius vociferus,Killdeer
773608,2014-06-29 17:17:24,2014-06-29,dpom,Melospiza lincolnii,Lincoln's Sparrow
852660,Tue Aug 26 2014 10:04:24 GMT-0700 (PDT),2014-08-26,pkleeman,Euphagus cyanocephalus,Brewer's Blackbird
852686,2014-08-25 16:52:18,2014-08-25,pkleeman,Strix nebulosa,Great Gray Owl
852688,2014-08-24 at 11:19 am,2014-08-24,pkleeman,Nucifraga columbiana,Clark's Nutcracker
906167,2014-09-02,2014-09-02,cathbutler,Mergus merganser,Common Merganser
1024363,2014-10-08 12:52:02,2014-10-08,faerthen,Catherpes mexicanus,Canyon Wren
1026178,2014-10-13,2014-10-13,infomgr,Nucifraga columbiana,Clark's Nutcracker
1031419,2014-10-18,2014-10-18,mytilludie,Cyanocitta stelleri,Steller's Jay
1056380,2010-09-14,2010-09-14,leslie_flint,Cyanocitta stelleri,Steller's Jay
1058654,Wed Nov 05 2014 07:21:36 GMT-0800 (PST),2014-11-05,rparker,Meleagris gallopavo,Wild Turkey
1082813,2014-11-19 09:34:54,2014-11-19,rparker,Dendragapus fuliginosus,Sooty Grouse
1102301,Mon Nov 24 2014 12:34:57 GMT-0800 (PST),2014-11-24,vandammegeog313,Corvus corax,Common Raven
1104440,2014-11-28 15:29:14,2014-11-28,anudibranchmom,Cyanocitta stelleri,Steller's Jay
1104441,2014-11-28 13:59:59,2014-11-28,anudibranchmom,Corvus corax,Common Raven
1104456,2014-11-29 10:50:02,2014-11-29,anudibranchmom,Corvus corax,Common Raven
1104464,2014-11-29 11:33:36,2014-11-29,anudibranchmom,Catherpes mexicanus,Canyon Wren
1104496,2014-11-29 11:54:52,2014-11-29,anudibranchmom,Dryobates villosus,Hairy Woodpecker
1104505,2014-11-29 12:02:06,2014-11-29,anudibranchmom,Certhia americana,Brown Creeper
1104507,2014-11-29 12:44:29,2014-11-29,anudibranchmom,Cyanocitta stelleri,Steller's Jay
1114012,2014-12-05,2014-12-05,nicetim,Dryobates villosus,Hairy Woodpecker
1114054,2014-12-05,2014-12-05,nicetim,Melanerpes formicivorus,Acorn Woodpecker
1149454,2014-12-26,2014-12-26,longhairedlizzy,Dryobates albolarvatus,White-headed Woodpecker
1172007,Sun Jan 04 2015 10:00:54 GMT-0800 (PST),2015-01-04,alan707,Corvus corax,Common Raven
1185660,2014-12-09 12:19:49,2014-12-09,rparker,Corvus corax,Common Raven
1186072,Sun May 04 2014 14:54:00 GMT-0700 (PDT),2014-05-04,jamesjad,Anas platyrhynchos,Mallard
1211513,2010-07-10,2010-07-10,mrfish33,Cyanocitta stelleri,Steller's Jay
1211530,2010-07-10,2010-07-10,mrfish33,Euphagus cyanocephalus,Brewer's Blackbird
1211536,2010-07-10,2010-07-10,mrfish33,Agelaius phoeniceus,Red-winged Blackbird
1242201,Wed Feb 18 2015 07:08:57 GMT-0800 (PST),2015-02-18,pkleeman,Corvus corax,Common Raven
1302701,2010-06-18,2010-06-18,thompsonae,Cyanocitta stelleri,Steller's Jay
1302712,2010-06-18,2010-06-18,thompsonae,Pica hudsonia,Black-billed Magpie
1500127,2015-05-14 09:59:30,2015-05-14,camelcreek,Turdus migratorius,American Robin
1500154,2015-05-14 09:59:52,2015-05-14,camelcreek,Euphagus cyanocephalus,Brewer's Blackbird
1500158,2015-05-14 10:02:51,2015-05-14,camelcreek,Certhia americana,Brown Creeper
1500179,2015-05-14 10:10:48,2015-05-14,camelcreek,Molothrus ater,Brown-headed Cowbird
1500183,2015-05-14 10:35:02,2015-05-14,camelcreek,Junco hyemalis,Dark-eyed Junco
1500198,2015-05-14 11:05:11,2015-05-14,camelcreek,Pheucticus melanocephalus,Black-headed Grosbeak
1500220,2015-05-14 11:34:38,2015-05-14,camelcreek,Anas platyrhynchos,Mallard
1530552,2015-05-20,2015-05-20,eslone,Junco hyemalis,Dark-eyed Junco
1643364,2015-06-04,2015-06-04,crusty,Junco hyemalis,Dark-eyed Junco
1643379,2015-06-04,2015-06-04,crusty,Cardellina pusilla,Wilson's Warbler
1643408,2015-06-04,2015-06-04,crusty,Zonotrichia leucophrys,White-crowned Sparrow
1713184,2015-06-27 10:59:49,2015-06-27,finatic,Anas platyrhynchos,Mallard
1713185,2015-06-27 11:17:06,2015-06-27,finatic,Haemorhous cassinii,Cassin's Finch
1713492,2015-06-26 08:45:12,2015-06-26,finatic,Geothlypis tolmiei,MacGillivray's Warbler
1713493,2015-06-26 08:35:35,2015-06-26,finatic,Setophaga coronata auduboni,Audubon's Warbler
1713494,2015-06-26 08:06:27,2015-06-26,finatic,Dryobates villosus,Hairy Woodpecker
1714067,2015-06-26 11:31:08,2015-06-26,finatic,Sphyrapicus thyroideus,Williamson's Sapsucker
1715955,2015-06-26 19:24:37,2015-06-26,finatic,Buteo jamaicensis,Red-tailed Hawk
1715956,2015-06-26 20:06:22,2015-06-26,finatic,Contopus sordidulus,Western Wood-Pewee
1715957,2015-06-26 17:58:00,2015-06-26,finatic,Molothrus ater,Brown-headed Cowbird
1715958,2015-06-26 20:09:04,2015-06-26,finatic,Agelaius tricolor,Tricolored Blackbird
1715959,2015-06-26 08:40:28,2015-06-26,finatic,Euphagus cyanocephalus,Brewer's Blackbird
1715960,2015-06-26 08:42:01,2015-06-26,finatic,Setophaga coronata auduboni,Audubon's Warbler
1715968,2015-06-26 08:49:38,2015-06-26,finatic,Junco hyemalis,Dark-eyed Junco
1715969,2015-06-26 19:22:08,2015-06-26,finatic,Turdus migratorius,American Robin
1716058,2015-06-26 16:30:47,2015-06-26,finatic,Poecile gambeli,Mountain Chickadee
1716059,2015-06-26 16:25:37,2015-06-26,finatic,Dryobates albolarvatus,White-headed Woodpecker
1716069,2015-06-27 13:10:50,2015-06-27,finatic,Actitis macularius,Spotted Sandpiper
1716071,2015-06-27 13:42:57,2015-06-27,finatic,Spinus pinus,Pine Siskin
1729152,2015-06-27 17:20:02,2015-06-27,finatic,Dryobates albolarvatus,White-headed Woodpecker
1729194,2015-06-26 11:35:54,2015-06-26,finatic,Melospiza lincolnii,Lincoln's Sparrow
1731776,Mon Jul 06 2015 12:41:06 GMT-0700 (PDT),2015-07-06,charlie,Cyanocitta stelleri,Steller's Jay
1744622,2013-08-11 20:59:17,2013-08-11,rmedina,Cyanocitta stelleri,Steller's Jay
1802510,2015-07-13,2015-07-13,elfaulkner,Corvus corax,Common Raven
1836580,2015-07-27 13:48:57,2015-07-27,biochristine,Dendragapus fuliginosus,Sooty Grouse
1846040,2015-08-05 19:19:01,2015-08-05,coffearobusta42,Dendragapus fuliginosus,Sooty Grouse
1890606,2015-05-29 1:23:20 PM CDT,2015-05-29,scottmohan,Dendragapus fuliginosus,Sooty Grouse
1923949,Sun Sep 06 2015 18:05:32 GMT-0700 (PDT),2015-09-06,ramenhead,Dendragapus fuliginosus,Sooty Grouse
1972902,2015-09-20,2015-09-20,gyrrlfalcon,Certhia americana,Brown Creeper
1972926,2015-09-20,2015-09-20,gyrrlfalcon,Setophaga coronata auduboni,Audubon's Warbler
2087139,Thu Sep 10 2015 17:44:28 GMT-0700 (PDT),2015-09-10,msmith218,Sphyrapicus ruber,Red-breasted Sapsucker
2314519,2012-06-20,2012-06-20,andriy,Junco hyemalis,Dark-eyed Junco
2314535,2012-06-20,2012-06-20,andriy,Colaptes auratus,Northern Flicker
2329599,2012-06-20,2012-06-20,andriy,Dryobates albolarvatus,White-headed Woodpecker
2343292,2015-11-02,2015-11-02,lynnnorth,Spinus pinus,Pine Siskin
2350115,2015-11-04,2015-11-04,acantelow,Corvus corax,Common Raven
2366909,2015-11-08 1:43:20 PM PST,2015-11-08,klubetkin,Cinclus mexicanus,American Dipper
2367001,2015-11-08 1:46:47 PM PST,2015-11-08,klubetkin,Sayornis nigricans,Black Phoebe
2370356,Sat Apr 06 2013 13:23:39 GMT-0700 (PDT),2013-04-06,pocketmouse,Cyanocitta stelleri,Steller's Jay
2403548,"August 24, 2004 08:42",2004-08-24,justin2,Zonotrichia leucophrys,White-crowned Sparrow
2441342,2015-11-25 16:16:56,2015-11-25,raulagrait,Junco hyemalis,Dark-eyed Junco
2441373,2015-11-25 16:23:44,2015-11-25,raulagrait,Melanerpes formicivorus,Acorn Woodpecker
2441431,2015-11-26 13:37:56,2015-11-26,raulagrait,Junco hyemalis,Dark-eyed Junco
2469661,2015-12-09 11:24AM,2015-12-09,greendowell,Poecile gambeli,Mountain Chickadee
2469686,2015-12-09 12:45 PM,2015-12-09,greendowell,Corthylio calendula,Ruby-crowned Kinglet
2479881,2015-05-23,2015-05-23,alyssq,Corvus corax,Common Raven
2488687,2015-05-19 18:28:05,2015-05-19,terathopius,Strix nebulosa,Great Gray Owl
2488689,2015-05-19 14:29:03,2015-05-19,terathopius,Dendragapus fuliginosus,Sooty Grouse
2493332,2015-05-20 16:32:29,2015-05-20,terathopius,Troglodytes pacificus,Pacific Wren
2495690,2015-05-21 07:19:27,2015-05-21,terathopius,Oreortyx pictus,Mountain Quail
2495691,2015-05-21 14:31:42,2015-05-21,terathopius,Mergus merganser,Common Merganser
2495692,2015-05-20 17:38:32,2015-05-20,terathopius,Regulus satrapa,Golden-crowned Kinglet
2495693,2015-05-21 10:31:18,2015-05-21,terathopius,Picoides arcticus,Black-backed Woodpecker
2511795,2012-06-20,2012-06-20,andriy,Cyanocitta stelleri,Steller's Jay
2545816,2016-01-01 12:10 pm,2016-01-01,mhaylock,Corthylio calendula,Ruby-crowned Kinglet
2546120,2016-01-01 2:15 pm,2016-01-01,mhaylock,Cyanocitta stelleri,Steller's Jay
2560867,2016-01-06 15:45,2016-01-06,klubetkin,Certhia americana,Brown Creeper
2582303,2015-12-31 10:55:09,2015-12-31,gerfderp,Dryobates albolarvatus,White-headed Woodpecker
2592902,2016-01-18 14:05,2016-01-18,klubetkin,Dryobates villosus,Hairy Woodpecker
2592940,2016-01-12 10:01:12 AM PST,2016-01-12,klubetkin,Sitta canadensis,Red-breasted Nuthatch
2638920,Sun May 27 2012 03:07:17 GMT-0700 (PDT),2012-05-27,e-albright,Dryocopus pileatus,Pileated Woodpecker
2660925,2014-07-09,2014-07-09,zanskar,Junco hyemalis,Dark-eyed Junco
2664865,2014-07-14,2014-07-14,zanskar,Turdus migratorius propinquus,Western Robin
2675326,2016-02-12 12:45,2016-02-12,klubetkin,Dryobates albolarvatus,White-headed Woodpecker
2705664,2016-02-20 13:30,2016-02-20,klubetkin,Anas platyrhynchos,Mallard
2705693,2016-02-20 10:35,2016-02-20,klubetkin,Sayornis nigricans,Black Phoebe
2712317,2015-07-18,2015-07-18,talisintess,Dendragapus fuliginosus,Sooty Grouse
2712321,2015-06-30,2015-06-30,talisintess,Pinicola enucleator,Pine Grosbeak
2937402,2012-05-07,2012-05-07,mmcmasters,Sphyrapicus ruber,Red-breasted Sapsucker
2986171,2015-06-26,2015-06-26,finatic,Geothlypis tolmiei,MacGillivray's Warbler
3000771,2016-03-27 12:44:18 PM PDT,2016-03-27,sbyrum,Cyanocitta stelleri,Steller's Jay
3000777,2016-03-28 9:48:07 AM PDT,2016-03-28,sbyrum,Turdus migratorius,American Robin
3334250,2016-05-22,2016-05-22,armandor,Dryocopus pileatus,Pileated Woodpecker
3365782,2016-05-26,2016-05-26,pnapper,Cyanocitta stelleri,Steller's Jay
3432943,2016-06-07,2016-06-07,caraleigh,Nucifraga columbiana,Clark's Nutcracker
3432953,2016-06-07,2016-06-07,caraleigh,Actitis macularius,Spotted Sandpiper
3432962,2016-06-07,2016-06-07,caraleigh,Turdus migratorius,American Robin
3435319,Sun Aug 09 2015 18:57:43 GMT-0700 (PDT),2015-08-09,bdaniels,Dendragapus fuliginosus,Sooty Grouse
3439382,2016-06-10,2016-06-10,caraleigh,Certhia americana,Brown Creeper
3498040,2016/06/19 12:40 PM PDT,2016-06-19,damontighe,Junco hyemalis,Dark-eyed Junco
3498041,2016/06/19 12:40 PM PDT,2016-06-19,damontighe,Nucifraga columbiana,Clark's Nutcracker
3522955,2011/06/11 4:18 PM PDT,2011-06-11,vireolanius,Sphyrapicus ruber,Red-breasted Sapsucker
3522956,2011/06/12 11:09 AM PDT,2011-06-12,vireolanius,Dendragapus fuliginosus,Sooty Grouse
3537240,Tue Jun 21 2016 13:09:02 GMT-0700 (PDT),2016-06-21,leslie_flint,Catharus guttatus,Hermit Thrush
3564222,2016-06-25,2016-06-25,debaraj,Sphyrapicus ruber,Red-breasted Sapsucker
3564231,2016-06-25,2016-06-25,debaraj,Piranga ludoviciana,Western Tanager
3564248,2016-06-25,2016-06-25,debaraj,Dryocopus pileatus,Pileated Woodpecker
3564312,2016-06-25,2016-06-25,debaraj,Setophaga coronata,Yellow-rumped Warbler
3564315,2016-06-25,2016-06-25,debaraj,Passerella iliaca,Fox Sparrow
3564493,2016-06-23,2016-06-23,debaraj,Dryobates villosus,Hairy Woodpecker
3643221,2015/08/20 5:50 PM UTC,2015-08-20,kgonzalez4,Buteo lineatus,Red-shouldered Hawk
3733198,2016/06/30 8:56 AM PDT,2016-06-30,donendicott,Dryocopus pileatus,Pileated Woodpecker
3781261,2016/07/28 1:57 PM PDT,2016-07-28,dpom,Junco hyemalis,Dark-eyed Junco
3781262,2016/07/28 1:58 PM PDT,2016-07-28,dpom,Certhia americana,Brown Creeper
3781263,2016/07/28 1:59 PM PDT,2016-07-28,dpom,Poecile gambeli,Mountain Chickadee
3781267,2016/07/28 1:56 PM PDT,2016-07-28,dpom,Spizella passerina,Chipping Sparrow
3781276,2016/07/28 1:55 PM PDT,2016-07-28,dpom,Leiothlypis celata,Orange-crowned Warbler
3793899,2016/08/02 3:12 PM PDT,2016-08-02,dpom,Melospiza lincolnii,Lincoln's Sparrow
3805506,2016/07/28 3:07 PM PDT,2016-07-28,dpom,Melospiza lincolnii,Lincoln's Sparrow
3805507,2016/07/28 3:15 PM PDT,2016-07-28,dpom,Anas platyrhynchos,Mallard
3817564,Tue May 24 2016 20:43:47 GMT-0400 (EDT),2016-05-24,steveross,Cyanocitta stelleri,Steller's Jay
3826319,2007/09/10 4:37 PM PDT,2007-09-10,weygold,Cyanocitta stelleri,Steller's Jay
3826320,2007/09/10 5:45 PM PDT,2007-09-10,weygold,Corvus corax,Common Raven
3872537,2010/05/28 6:41 PM EDT,2010-05-28,peteacorr,Corvus corax,Common Raven
3872551,2010/05/26 1:23 PM EDT,2010-05-26,peteacorr,Cyanocitta stelleri,Steller's Jay
3872555,2010/05/26 4:12 PM EDT,2010-05-26,peteacorr,Sialia mexicana,Western Bluebird
3872556,2010/05/26 6:39 PM EDT,2010-05-26,peteacorr,Agelaius phoeniceus,Red-winged Blackbird
3939396,2013/04/17 3:13 AM EDT,2013-04-17,johnfromkw,Dryobates albolarvatus,White-headed Woodpecker
3939819,Wed Aug 17 2016 16:58:07 GMT-0400 (EDT),2016-08-17,mountaineers88,Dendragapus fuliginosus,Sooty Grouse
3958129,2011/05/19 11:22 AM PDT,2011-05-19,cypseloides,Vireo cassinii,Cassin's Vireo
3966891,2012-09-21,2012-09-21,jmaughn,Junco hyemalis,Dark-eyed Junco
3988501,Thu Sep 18 2014 19:43:56 GMT-0700 (PDT),2014-09-18,raindog2035,Lagopus leucura,White-tailed Ptarmigan
4004383,2016/08/27 4:32 PM HST,2016-08-27,r_ya,Dendragapus fuliginosus,Sooty Grouse
4023261,2015-05-21 08:43:31,2015-05-21,terathopius,Strix nebulosa,Great Gray Owl
4025501,2016/04/16 12:00 PM PDT,2016-04-16,cullin,Setophaga nigrescens,Black-throated Gray Warbler
4025502,2016/04/16 1:03 PM PDT,2016-04-16,cullin,Vireo cassinii,Cassin's Vireo
4025503,2016/04/16 3:12 PM PDT,2016-04-16,cullin,Dryobates albolarvatus,White-headed Woodpecker
4053932,2016/04/16 11:35 AM PDT,2016-04-16,cullin,Setophaga coronata auduboni,Audubon's Warbler
4140636,2016/04/16 12:03 PM PDT,2016-04-16,cullin,Vireo cassinii,Cassin's Vireo
4140647,2016/04/16 11:46 AM PDT,2016-04-16,cullin,Leiothlypis ruficapilla,Nashville Warbler
4145951,2016/04/16 10:20 AM PDT,2016-04-16,cullin,Sitta canadensis,Red-breasted Nuthatch
4146575,2016/04/16 12:34 PM PDT,2016-04-16,cullin,Colaptes auratus cafer,Northern Red-shafted Flicker
4160280,2016/09/03 1:38 PM HST,2016-09-03,raulagrait,Melanerpes formicivorus,Acorn Woodpecker
4160316,2016/09/03 1:55 PM HST,2016-09-03,raulagrait,Cyanocitta stelleri,Steller's Jay
4160367,2016/09/03 1:59 PM HST,2016-09-03,raulagrait,Turdus migratorius,American Robin
4178327,2016/09/03 2:06 PM HST,2016-09-03,raulagrait,Melanerpes formicivorus,Acorn Woodpecker
4188244,2016/04/16 10:43 AM PDT,2016-04-16,cullin,Corvus corax,Common Raven
4197647,2016-09-23,2016-09-23,jmaughn,Euphagus cyanocephalus,Brewer's Blackbird
4197648,2016-09-23,2016-09-23,jmaughn,Corvus corax,Common Raven
4197649,2016-09-23,2016-09-23,jmaughn,Turdus migratorius,American Robin
4197651,2016-09-23,2016-09-23,jmaughn,Buteo jamaicensis,Red-tailed Hawk
4204953,2016-09-24 12:05:39,2016-09-24,jmaughn,Nucifraga columbiana,Clark's Nutcracker
4204954,2016-09-24 11:00:18,2016-09-24,jmaughn,Poecile gambeli,Mountain Chickadee
4204955,2016-09-24 14:09:44,2016-09-24,jmaughn,Setophaga coronata,Yellow-rumped Warbler
4204956,2016-09-24 11:43:49,2016-09-24,jmaughn,Sitta carolinensis,White-breasted Nuthatch
4204957,2016-09-24 14:52:45,2016-09-24,jmaughn,Corvus corax,Common Raven
4227567,2014/07/12 12:53 PM EDT,2014-07-12,tkoffel,Dryobates albolarvatus,White-headed Woodpecker
4227576,2014/07/12 10:41 AM EDT,2014-07-12,tkoffel,Contopus sordidulus,Western Wood-Pewee
4227577,2014/07/12 10:29 AM EDT,2014-07-12,tkoffel,Euphagus cyanocephalus,Brewer's Blackbird
4227582,2014/07/11 10:06 PM EDT,2014-07-11,tkoffel,Passerella iliaca,Fox Sparrow
4227584,2014/07/11 9:42 PM EDT,2014-07-11,tkoffel,Corvus corax,Common Raven
4227603,2014/07/11 7:52 PM EDT,2014-07-11,tkoffel,Mergus merganser,Common Merganser
4227606,2014/07/11 7:37 PM EDT,2014-07-11,tkoffel,Junco hyemalis,Dark-eyed Junco
4227607,2014/07/11 7:20 PM EDT,2014-07-11,tkoffel,Cyanocitta stelleri,Steller's Jay
4227798,2014/07/12 3:10 PM EDT,2014-07-12,tkoffel,Sitta canadensis,Red-breasted Nuthatch
4227805,2014/07/12 2:40 PM EDT,2014-07-12,tkoffel,Myadestes townsendi,Townsend's Solitaire
4227810,2014/07/13 11:49 AM EDT,2014-07-13,tkoffel,Coccothraustes vespertinus,Evening Grosbeak
4227819,2014/07/13 11:22 AM EDT,2014-07-13,tkoffel,Poecile gambeli,Mountain Chickadee
4227820,2014/07/13 11:16 AM EDT,2014-07-13,tkoffel,Geothlypis tolmiei,MacGillivray's Warbler
4227824,2014/07/13 11:06 AM EDT,2014-07-13,tkoffel,Dryobates albolarvatus,White-headed Woodpecker
4227831,2014/07/12 4:44 PM EDT,2014-07-12,tkoffel,Corvus corax,Common Raven
4228892,Sun Sep 25 2016 13:07:28 GMT-0700 (PDT),2016-09-25,stephanomeria,Euphagus cyanocephalus,Brewer's Blackbird
4260399,2016/09/04 5:31 PM HST,2016-09-04,raulagrait,Anas platyrhynchos,Mallard
4260500,2016/09/05 1:23 PM HST,2016-09-05,raulagrait,Cyanocitta stelleri,Steller's Jay
4294455,2016-10-07 9:48:45 PM EDT,2016-10-07,dyeany2,Oreortyx pictus,Mountain Quail
