id,observed_on_string,observed_on,time_observed_at,scientific_name,common_name
1193460,2015-01-18 12:27:18,2015-01-18,2015-01-18 20:27:18 +0000,Salpinctes obsoletus,Rock Wren
1220065,2013-04-08,2013-04-08,,Recurvirostra americana,American Avocet
1220321,2011-02-14,2011-02-14,,Toxostoma lecontei,LeConte's Thrasher
1335542,2015-03-22 10:30:01,2015-03-22,2015-03-22 17:30:01 +0000,Dryobates scalaris,Ladder-backed Woodpecker
1335576,2015-03-22 10:00:30,2015-03-22,2015-03-22 17:00:30 +0000,Aeronautes saxatalis,White-throated Swift
1340470,2015-03-22 09:55:50,2015-03-22,2015-03-22 16:55:50 +0000,Campylorhynchus brunneicapillus,Cactus Wren
1343247,2015-03-21 13:13:39,2015-03-21,2015-03-21 20:13:39 +0000,Amphispiza bilineata,Black-throated Sparrow
1352742,2015-03-22 12:39:32,2015-03-22,2015-03-22 19:39:32 +0000,Polioptila melanura,Black-tailed Gnatcatcher
1352839,2015-03-22 13:15:30,2015-03-22,2015-03-22 20:15:30 +0000,Calypte costae,Costa's Hummingbird
1500055,2015-05-16 14:27:06,2015-05-16,2015-05-16 21:27:06 +0000,Campylorhynchus brunneicapillus,Cactus Wren
1500056,2015-05-16 14:19:16,2015-05-16,2015-05-16 21:19:16 +0000,Callipepla gambelii,Gambel's Quail
1500058,2015-05-16 13:14:58,2015-05-16,2015-05-16 20:14:58 +0000,Gymnorhinus cyanocephalus,Pinyon Jay
1500059,2015-05-16 13:11:32,2015-05-16,2015-05-16 20:11:32 +0000,Dryobates scalaris,Ladder-backed Woodpecker
1510606,2015-05-15,2015-05-15,,Haemorhous mexicanus,House Finch
1510607,2015-05-15,2015-05-15,,Calypte anna,Anna's Hummingbird
1510608,2015-05-15,2015-05-15,,Corvus corax,Common Raven
1510609,2015-05-15,2015-05-15,,Campylorhynchus brunneicapillus,Cactus Wren
1510610,2015-05-15,2015-05-15,,Falco sparverius,American Kestrel
1510611,2015-05-15,2015-05-15,,Callipepla gambelii,Gambel's Quail
1510612,2015-05-15,2015-05-15,,Myiarchus cinerascens,Ash-throated Flycatcher
1510727,2015-05-16,2015-05-16,,Polioptila,Gnatcatchers
1510728,2015-05-16,2015-05-16,,Polioptila melanura,Black-tailed Gnatcatcher
1510729,2015-05-16,2015-05-16,,Auriparus flaviceps,Verdin
1510730,2015-05-16,2015-05-16,,Amphispiza bilineata,Black-throated Sparrow
1510731,2015-05-16,2015-05-16,,Cardellina pusilla,Wilson's Warbler
1510732,2015-05-16,2015-05-16,,Phainopepla nitens,Phainopepla
1574044,2015-05-30 7:07:38 PM PDT,2015-05-30,2015-05-31 02:07:38 +0000,Zenaida macroura,Mourning Dove
1581798,2015-05-28,2015-05-28,,Phainopepla nitens,Phainopepla
1610975,2015-04-07 10:19:36,2015-04-07,2015-04-07 17:19:36 +0000,Aphelocoma californica,California Scrub-Jay
1675309,2015-06-10,2015-06-10,,Amphispiza bilineata,Black-throated Sparrow
1675312,2015-06-10,2015-06-10,,Myiarchus cinerascens,Ash-throated Flycatcher
1675328,2015-06-10,2015-06-10,,Myiarchus cinerascens,Ash-throated Flycatcher
1675338,2015-06-10,2015-06-10,,Phainopepla nitens,Phainopepla
1675348,2015-06-10,2015-06-10,,Callipepla gambelii,Gambel's Quail
1754120,10/13/12,2012-10-13,,Corvus corax,Common Raven
1785176,2015-02-15,2015-02-15,,Calypte anna,Anna's Hummingbird
1785202,2015-02-14,2015-02-14,,Melanerpes formicivorus,Acorn Woodpecker
1785212,2015-01-13,2015-01-13,,Corvus corax,Common Raven
1785708,2015-01-13,2015-01-13,,Lanius ludovicianus,Loggerhead Shrike
1785711,2015-01-13,2015-01-13,,Pipilo maculatus,Spotted Towhee
1785724,2015-02-13,2015-02-13,,Junco hyemalis,Dark-eyed Junco
1785728,2015-02-14,2015-02-14,,Calypte costae,Costa's Hummingbird
1786731,2014-02-14,2014-02-14,,Artemisiospiza,Sage Sparrows
1786768,2014-02-15,2014-02-15,,Zonotrichia atricapilla,Golden-crowned Sparrow
1786780,2014-02-15,2014-02-15,,Spizella passerina,Chipping Sparrow
1786783,2014-02-15,2014-02-15,,Passerculus sandwichensis,Savannah Sparrow
1842684,2012-04-05,2012-04-05,,Callipepla gambelii,Gambel's Quail
1854522,2012-04-02,2012-04-02,,Aeronautes saxatalis,White-throated Swift
1855049,2012-04-04,2012-04-04,,Calypte costae,Costa's Hummingbird
1856822,2012-05-04,2012-05-04,,Dryobates scalaris,Ladder-backed Woodpecker
1856904,2012-04-04,2012-04-04,,Sayornis saya,Say's Phoebe
1856939,2012-04-02,2012-04-02,,Empidonax hammondii,Hammond's Flycatcher
1857119,2012-05-04,2012-05-04,,Corvus corax,Common Raven
1857297,2012-04-04,2012-04-04,,Eremophila alpestris,Horned Lark
1860008,2012-04-04,2012-04-04,,Polioptila melanura,Black-tailed Gnatcatcher
1860012,2012-04-02,2012-04-02,,Oreoscoptes montanus,Sage Thrasher
1860365,2012-04-02,2012-04-02,,Amphispiza bilineata,Black-throated Sparrow
1860369,2012-04-04,2012-04-04,,Spizella breweri,Brewer's Sparrow
1860388,2012-04-04,2012-04-04,,Spizella passerina,Chipping Sparrow
1867918,10/13/12,2012-10-13,,Myadestes townsendi,Townsend's Solitaire
1867960,10/13/12,2012-10-13,,Aeronautes saxatalis,White-throated Swift
1874997,10/12/12,2012-10-12,,Callipepla gambelii,Gambel's Quail
1910953,2015-09-01,2015-09-01,,Toxostoma lecontei,LeConte's Thrasher
1914325,2013-03-01,2013-03-01,,Phainopepla nitens,Phainopepla
1914327,2013-12-10,2013-12-10,,Artemisiospiza nevadensis,Sagebrush Sparrow
1916830,2015-01-19,2015-01-19,,Aphelocoma californica,California Scrub-Jay
1916832,2015-01-19,2015-01-19,,Polioptila caerulea,Blue-gray Gnatcatcher
1916861,2014-01-08,2014-01-08,,Buteo jamaicensis,Red-tailed Hawk
1916864,2014-01-08,2014-01-08,,Pipilo maculatus,Spotted Towhee
1916873,2014-01-08,2014-01-08,,Calypte anna,Anna's Hummingbird
1916881,2014-01-08,2014-01-08,,Phainopepla nitens,Phainopepla
1916885,2014-01-08,2014-01-08,,Spinus psaltria,Lesser Goldfinch
1916886,2014-01-08,2014-01-08,,Haemorhous mexicanus,House Finch
1916887,2014-01-08,2014-01-08,,Colaptes auratus,Northern Flicker
1916908,2014-01-28,2014-01-28,,Buteo jamaicensis,Red-tailed Hawk
1916918,2014-03-21,2014-03-21,,Icterus parisorum,Scott's Oriole
1916928,2014-04-03,2014-04-03,,Geococcyx californianus,Greater Roadrunner
1916942,2014-11-13,2014-11-13,,Phainopepla nitens,Phainopepla
1916944,2014-11-13,2014-11-13,,Sayornis saya,Say's Phoebe
1916953,2014-12-03,2014-12-03,,Buteo jamaicensis,Red-tailed Hawk
1916957,2014-12-15,2014-12-15,,Haemorhous mexicanus,House Finch
1916966,2013-03-22,2013-03-22,,Cathartes aura,Turkey Vulture
1916978,2013-11-18,2013-11-18,,Buteo jamaicensis,Red-tailed Hawk
1916995,2011-02-22,2011-02-22,,Lanius ludovicianus,Loggerhead Shrike
1917052,2011-03-07,2011-03-07,,Corvus corax,Common Raven
1917063,2010-02-04,2010-02-04,,Lanius ludovicianus,Loggerhead Shrike
1917064,2010-02-04,2010-02-04,,Branta canadensis,Canada Goose
1917074,2010-10-24,2010-10-24,,Phainopepla nitens,Phainopepla
1917078,2010-10-24,2010-10-24,,Aphelocoma californica,California Scrub-Jay
1917081,2010-10-24,2010-10-24,,Accipiter striatus,Sharp-shinned Hawk
1917082,2010-10-24,2010-10-24,,Zonotrichia leucophrys,White-crowned Sparrow
1917084,2010-10-24,2010-10-24,,Buteo jamaicensis,Red-tailed Hawk
1917089,2010-10-24,2010-10-24,,Baeolophus inornatus,Oak Titmouse
1917092,2010-12-21,2010-12-21,,Junco hyemalis,Dark-eyed Junco
1917093,2010-12-21,2010-12-21,,Aphelocoma californica,California Scrub-Jay
1917094,2010-12-21,2010-12-21,,Corvus corax,Common Raven
1917103,2010-02-07,2010-02-07,,Buteo lineatus,Red-shouldered Hawk
1917110,2010-02-07,2010-02-07,,Corvus corax,Common Raven
1917128,2010-03-28,2010-03-28,,Calypte anna,Anna's Hummingbird
1917129,2010-03-29,2010-03-29,,Calypte anna,Anna's Hummingbird
1917130,2010-03-29,2010-03-29,,Zenaida macroura,Mourning Dove
1917132,2010-03-29,2010-03-29,,Calypte anna,Anna's Hummingbird
1917133,2010-03-29,2010-03-29,,Tyrannus verticalis,Western Kingbird
1917134,2010-03-29,2010-03-29,,Geococcyx californianus,Greater Roadrunner
1917136,2010-04-04,2010-04-04,,Calypte costae,Costa's Hummingbird
1917138,2010-04-04,2010-04-04,,Amphispiza bilineata,Black-throated Sparrow
1917145,2010-04-04,2010-04-04,,Phainopepla nitens,Phainopepla
1917146,2010-04-04,2010-04-04,,Sayornis saya,Say's Phoebe
1917148,2010-04-04,2010-04-04,,Falco sparverius,American Kestrel
1917150,2008-01-25,2008-01-25,,Aphelocoma californica,California Scrub-Jay
1917152,2008-03-29,2008-03-29,,Corvus corax,Common Raven
1917160,2008-05-02,2008-05-02,,Calypte costae,Costa's Hummingbird
1917165,2008-06-07,2008-06-07,,Bubo virginianus,Great Horned Owl
1917172,2007-05-20,2007-05-20,,Corvus corax,Common Raven
1917173,2007-05-20,2007-05-20,,Anas platyrhynchos,Mallard
1917174,2007-05-20,2007-05-20,,Zenaida macroura,Mourning Dove
1917175,2007-06-11,2007-06-11,,Cathartes aura,Turkey Vulture
1917177,2007-09-21,2007-09-21,,Cathartes aura,Turkey Vulture
1917178,2007-09-27,2007-09-27,,Astur cooperii,Cooper's Hawk
1917179,2007-09-27,2007-09-27,,Amphispiza bilineata,Black-throated Sparrow
2068996,2015-10-03 13:11:02,2015-10-03,2015-10-03 20:11:02 +0000,Salpinctes obsoletus,Rock Wren
2068997,2015-10-03 12:37:47,2015-10-03,2015-10-03 19:37:47 +0000,Aphelocoma californica,California Scrub-Jay
2068998,2015-10-03 14:44:24,2015-10-03,2015-10-03 21:44:24 +0000,Gymnorhinus cyanocephalus,Pinyon Jay
2068999,2015-10-03 13:14:34,2015-10-03,2015-10-03 20:14:34 +0000,Zonotrichia leucophrys gambelii,Gambel's White-crowned Sparrow
2069000,2015-10-03 13:52:52,2015-10-03,2015-10-03 20:52:52 +0000,Passerculus sandwichensis,Savannah Sparrow
2069001,2015-10-03 14:15:37,2015-10-03,2015-10-03 21:15:37 +0000,Spizella passerina,Chipping Sparrow
2069002,2015-10-03 13:46:50,2015-10-03,2015-10-03 20:46:50 +0000,Setophaga coronata auduboni,Audubon's Warbler
2069003,2015-10-03 13:43:31,2015-10-03,2015-10-03 20:43:31 +0000,Setophaga coronata auduboni,Audubon's Warbler
2101645,2015-10-03 15:28:50,2015-10-03,2015-10-03 22:28:50 +0000,Amphispiza bilineata,Black-throated Sparrow
2101722,2015-10-03 14:00:12,2015-10-03,2015-10-03 21:00:12 +0000,Salpinctes obsoletus,Rock Wren
2115871,2015-10-03 17:37:46,2015-10-03,2015-10-04 00:37:46 +0000,Corthylio calendula,Ruby-crowned Kinglet
2115872,2015-10-03 17:23:27,2015-10-03,2015-10-04 00:23:27 +0000,Corvus corax,Common Raven
2115988,2015-10-03 16:05:59,2015-10-03,2015-10-03 23:05:59 +0000,Astur cooperii,Cooper's Hawk
2371056,2015-11-10 8:27:57 AM PST,2015-11-10,2015-11-10 16:27:57 +0000,Lanius ludovicianus,Loggerhead Shrike
2375480,2015-11-08 15:44:47,2015-11-08,2015-11-08 23:44:47 +0000,Aphelocoma californica,California Scrub-Jay
2375481,2015-11-08 14:49:31,2015-11-08,2015-11-08 22:49:31 +0000,Zonotrichia leucophrys,White-crowned Sparrow
2375483,2015-11-08 16:08:37,2015-11-08,2015-11-09 00:08:37 +0000,Corvus corax,Common Raven
2377895,2015-11-09 10:10:06,2015-11-09,2015-11-09 18:10:06 +0000,Campylorhynchus brunneicapillus,Cactus Wren
2377913,2015-11-09 10:18:24,2015-11-09,2015-11-09 18:18:24 +0000,Zonotrichia leucophrys,White-crowned Sparrow
2377914,2015-11-09 10:18:06,2015-11-09,2015-11-09 18:18:06 +0000,Phainopepla nitens,Phainopepla
2378085,2015-11-09 10:56:24,2015-11-09,2015-11-09 18:56:24 +0000,Salpinctes obsoletus,Rock Wren
2378086,2015-11-09 10:51:29,2015-11-09,2015-11-09 18:51:29 +0000,Aphelocoma californica,California Scrub-Jay
2378090,2015-11-09 10:40:00,2015-11-09,2015-11-09 18:40:00 +0000,Polioptila caerulea,Blue-gray Gnatcatcher
2378092,2015-11-09 10:41:42,2015-11-09,2015-11-09 18:41:42 +0000,Myiarchus cinerascens,Ash-throated Flycatcher
2378093,2015-11-09 10:46:28,2015-11-09,2015-11-09 18:46:28 +0000,Zonotrichia leucophrys,White-crowned Sparrow
2385315,2011-07-02,2011-07-02,,Callipepla gambelii,Gambel's Quail
2385588,2012-07-28,2012-07-28,,Cathartes aura,Turkey Vulture
2389742,2015-11-10 08:53:24,2015-11-10,2015-11-10 16:53:24 +0000,Polioptila caerulea,Blue-gray Gnatcatcher
2401022,2013-01-04,2013-01-04,,Phainopepla nitens,Phainopepla
2402947,2014-12-16,2014-12-16,,Haliaeetus leucocephalus,Bald Eagle
2402997,2014-03-13,2014-03-13,,Junco hyemalis caniceps,Gray-headed Junco
2403031,2014-10-19,2014-10-19,,Melanerpes lewis,Lewis's Woodpecker
2403128,2015-08-10,2015-08-10,,Empidonax traillii,Willow Flycatcher
2403163,2015-09-18,2015-09-18,,Buteo jamaicensis,Red-tailed Hawk
2403230,2013-08-09,2013-08-09,,Piranga ludoviciana,Western Tanager
2403254,2015-09-06,2015-09-06,,Setophaga nigrescens,Black-throated Gray Warbler
2403294,2015-09-06,2015-09-06,,Molothrus ater,Brown-headed Cowbird
2403318,2015-09-06,2015-09-06,,Passerculus sandwichensis,Savannah Sparrow
2403591,2015-09-06,2015-09-06,,Passerina amoena,Lazuli Bunting
2444733,2010-04-25,2010-04-25,,Callipepla gambelii,Gambel's Quail
2446922,2015-10-29 12:31:33,2015-10-29,2015-10-29 16:31:33 +0000,Corvus corax,Common Raven
2446930,2015-10-29 14:09:57,2015-10-29,2015-10-29 18:09:57 +0000,Amphispiza bilineata,Black-throated Sparrow
2509085,2015-12-26 07:51:33,2015-12-26,2015-12-26 15:51:33 +0000,Phainopepla nitens,Phainopepla
2509089,2015-12-26 09:52:43,2015-12-26,2015-12-26 17:52:43 +0000,Amphispiza bilineata,Black-throated Sparrow
2509094,2015-12-26 10:42:46,2015-12-26,2015-12-26 18:42:46 +0000,Phainopepla nitens,Phainopepla
